date,code,side,quantity,price,cost,slippage_pct,mode,event_id
2026-03-26,017940,BUY,53,101874.00,0.00,N/A,GHOST,20260326_111959_017940_BUY
2026-03-26,017940,BUY,59,101856.00,0.00,N/A,GHOST,20260326_112020_017940_BUY
2026-03-26,001060,BUY,188,31800.95,0.00,N/A,LIVE,20260326_112021_001060_BUY
2026-03-26,001060,BUY,58,31801.00,0.00,N/A,GHOST,20260326_112024_001060_BUY
2026-03-26,001060,BUY,73,31801.00,0.00,N/A,GHOST,20260326_112047_001060_BUY
2026-03-26,001060,BUY,84,31801.00,0.00,N/A,GHOST,20260326_112048_001060_BUY
2026-03-26,001800,BUY,31,25150.00,0.00,N/A,LIVE,20260326_112051_001800_BUY
2026-03-26,005930,BUY,131,180500.00,0.00,N/A,LIVE,20260326_112052_005930_BUY
2026-03-26,001800,BUY,32,25152.00,0.00,N/A,GHOST,20260326_112053_001800_BUY
2026-03-26,000660,BUY,25,941092.40,0.00,N/A,LIVE,20260326_112053_000660_BUY
2026-03-26,035420,BUY,115,213591.85,0.00,N/A,LIVE,20260326_112059_035420_BUY
2026-03-26,051910,BUY,78,317000.00,0.00,N/A,LIVE,20260326_112101_051910_BUY
2026-03-26,017940,BUY,35,101800.00,0.00,N/A,LIVE,20260326_124355_017940_BUY
2026-03-26,017940,BUY,29,101814.00,0.00,N/A,GHOST,20260326_124421_017940_BUY
2026-03-26,001060,BUY,31,32000.00,0.00,N/A,LIVE,20260326_124425_001060_BUY
2026-03-26,001800,BUY,190,25250.00,0.00,N/A,LIVE,20260326_124456_001800_BUY
2026-03-26,005930,BUY,25,182800.00,0.00,N/A,LIVE,20260326_124457_005930_BUY
2026-03-26,000660,BUY,4,951000.00,0.00,N/A,LIVE,20260326_124458_000660_BUY
2026-03-26,035420,BUY,21,214023.90,0.00,N/A,LIVE,20260326_124521_035420_BUY
2026-03-26,051910,BUY,14,316609.79,0.00,N/A,LIVE,20260326_124535_051910_BUY
2026-03-26,REBALANCE,SUMMARY,sells=0,buys=0,471433646.00,0.00,LIVE,
2026-03-26,REBALANCE,SUMMARY,sells=0,buys=0,471430709.00,0.00,LIVE,
2026-03-26,REBALANCE,SUMMARY,sells=0,buys=0,499505389.00,0.00,LIVE,
2026-03-26,000660,SELL,29,952000.00,0.00,N/A,LIVE,20260326_131104_000660_SELL
2026-03-26,005930,SELL,156,183266.21,0.00,N/A,LIVE,20260326_131107_005930_SELL
2026-03-26,035420,SELL,136,214051.74,0.00,N/A,LIVE,20260326_131133_035420_SELL
2026-03-26,051910,SELL,92,317500.00,0.00,N/A,LIVE,20260326_131157_051910_SELL
2026-03-26,REBALANCE,SUMMARY,sells=4,buys=4,496784386.23,0.00,LIVE,
2026-03-26,003550,BUY,280,88200.00,0.00,N/A,LIVE,20260326_131714_003550_BUY
2026-03-26,006400,BUY,61,404500.00,0.00,N/A,LIVE,20260326_131725_006400_BUY
2026-03-26,034730,BUY,72,345045.38,0.00,N/A,LIVE,20260326_131739_034730_BUY
2026-03-26,009150,BUY,21,460546.67,0.00,N/A,LIVE,20260326_131741_009150_BUY
2026-03-27,REBALANCE,SUMMARY,sells=0,buys=0,493184861.00,0.00,LIVE,
2026-04-03,REBALANCE,SUMMARY,sells=0,buys=17,5000000.00,0.00,LIVE,
2026-04-03,003540,BUY,7,36350,0,0.00,LIVE,RECON_RECOVERY_20260403_003540
2026-04-03,005830,BUY,1,165600,0,0.00,LIVE,RECON_RECOVERY_20260403_005830
2026-04-03,005930,BUY,1,184500,0,0.00,LIVE,RECON_RECOVERY_20260403_005930
2026-04-03,005940,BUY,8,30500,0,0.00,LIVE,RECON_RECOVERY_20260403_005940
2026-04-03,005960,BUY,30,8430,0,0.00,LIVE,RECON_RECOVERY_20260403_005960
2026-04-03,009970,BUY,1,220500,0,0.00,LIVE,RECON_RECOVERY_20260403_009970
2026-04-03,010950,BUY,2,106900,0,0.00,LIVE,RECON_RECOVERY_20260403_010950
2026-04-03,011210,BUY,3,76200,0,0.00,LIVE,RECON_RECOVERY_20260403_011210
2026-04-03,016360,BUY,2,94700,0,0.00,LIVE,RECON_RECOVERY_20260403_016360
2026-04-03,032830,BUY,1,226000,0,0.00,LIVE,RECON_RECOVERY_20260403_032830
2026-04-03,035810,BUY,45,5550,0,0.00,LIVE,RECON_RECOVERY_20260403_035810
2026-04-03,037460,BUY,9,28500,0,0.00,LIVE,RECON_RECOVERY_20260403_037460
2026-04-03,055550,BUY,2,94200,0,0.00,LIVE,RECON_RECOVERY_20260403_055550
2026-04-03,086280,BUY,1,212000,0,0.00,LIVE,RECON_RECOVERY_20260403_086280
2026-04-03,139130,BUY,15,16990,0,0.00,LIVE,RECON_RECOVERY_20260403_139130
2026-04-03,211050,BUY,21,11900,0,0.00,LIVE,RECON_RECOVERY_20260403_211050
2026-04-03,316140,BUY,7,32650,0,0.00,LIVE,RECON_RECOVERY_20260403_316140
