date,equity
2022-03-07,114755489.28619996
2022-03-08,112668209.28619996
2022-03-10,114859199.28619996
2022-03-11,116032829.28619996
2022-03-14,115133816.53619996
2022-03-15,115255596.53619996
2022-03-16,116171856.53619996
2022-03-17,116486402.53619996
2022-03-18,116611966.53619996
2022-03-21,116827332.53619996
2022-03-22,117726816.53619996
2022-03-23,118243932.53619996
2022-03-24,118238186.53619996
2022-03-25,117757466.53619996
2022-03-28,117894856.53619996
2022-03-29,117276808.68585
2022-03-30,117051517.68585
2022-03-31,118299758.68585
2022-04-01,118523965.68585
2022-04-04,119314008.68585
2022-04-05,119913937.68585
2022-04-06,120259718.68585
2022-04-07,119730880.68585
2022-04-08,118893087.68585
2022-04-11,118725682.70584999
2022-04-12,117667461.70584999
2022-04-13,118201558.70584999
2022-04-14,118737316.70584999
2022-04-15,119205052.03584999
2022-04-18,118340152.89584999
2022-04-19,118879107.89584999
2022-04-20,119197689.89584999
2022-04-21,118998311.89584999
2022-04-22,119563445.89584999
2022-04-25,117856548.57084998
2022-04-26,118279005.57084998
2022-04-27,114282789.17659998
2022-04-28,115181510.17659998
2022-04-29,114611213.17659998
2022-05-02,115487026.47659998
2022-05-03,113851711.47659998
2022-05-04,112423940.56159998
2022-05-06,111810457.41159998
2022-05-09,110203621.41159998
2022-05-10,109395492.41159998
2022-05-11,109928928.41159998
2022-05-12,108636996.21159998
2022-05-13,109218999.21159998
2022-05-16,109806596.21159998
2022-05-17,109163400.21159998
2022-05-18,108618614.21159998
2022-05-19,107558270.08159998
2022-05-20,107953336.08159998
2022-05-23,107686562.43159997
2022-05-24,107230299.20659998
2022-05-25,107848175.20659998
2022-05-26,108002641.20659998
2022-05-27,108878929.00724998
2022-05-30,109633338.00724998
2022-05-31,111582887.00724998
2022-06-02,110431490.00724998
2022-06-03,110823615.57724999
2022-06-07,110505478.57724999
2022-06-08,111428278.57724999
2022-06-09,110789973.57724999
2022-06-10,110173830.57724999
2022-06-13,107748965.81424999
2022-06-14,107184741.88924998
2022-06-15,106117089.71524999
2022-06-16,106586257.71524999
2022-06-17,106037230.30025
2022-06-20,104532524.63055
2022-06-21,105251694.63055
2022-06-22,104380834.45554999
2022-06-23,103905030.95554999
2022-06-24,104459690.95554999
2022-06-27,105244740.95554999
2022-06-28,105841675.95554999
2022-06-29,105450923.2933
2022-06-30,104833653.2933
2022-07-01,104849773.2933
2022-07-04,104837949.2183
2022-07-05,105058349.2183
2022-07-06,102156959.6383
2022-07-07,102675369.6383
2022-07-08,102616859.6383
2022-07-11,102490509.6383
2022-07-12,102898219.6383
2022-07-13,103241959.6383
2022-07-14,102741103.6683
2022-07-15,102501533.6683
2022-07-18,102812253.6683
2022-07-19,102972313.6683
2022-07-20,103010213.6683
2022-07-21,103423413.6683
2022-07-22,103088593.6683
2022-07-25,103279973.6683
2022-07-26,103615053.6683
2022-07-27,103645793.6683
2022-07-28,103422067.87114999
2022-07-29,103526305.87114999
2022-08-01,103868139.87114999
2022-08-02,104005781.87114999
2022-08-03,104241091.87114999
2022-08-04,104171725.87114999
2022-08-05,104435504.87114999
2022-08-08,104367406.87114999
2022-08-09,105482539.87114999
2022-08-10,104817579.87114999
2022-08-11,105522662.87114999
2022-08-12,106018243.87114999
2022-08-16,106096981.87114999
2022-08-17,105229617.28264998
2022-08-18,104843792.28264998
2022-08-19,104954591.28264998
2022-08-22,104332378.28264998
2022-08-23,104355431.66664998
2022-08-24,105075411.66664998
2022-08-25,105472245.66664998
2022-08-26,105383946.66664998
2022-08-29,105283278.19939998
2022-08-30,105499518.19939998
2022-08-31,106069743.19939998
2022-09-01,104496733.19939998
2022-09-02,104221528.19939998
2022-09-05,104153323.19939998
2022-09-06,104787497.79939997
2022-09-07,103776512.79939997
2022-09-08,103792222.79939997
2022-09-13,104469602.79939997
2022-09-14,103845312.79939997
2022-09-15,103864517.79939997
2022-09-16,103486123.29939997
2022-09-19,103295998.29939997
2022-09-20,104592928.29939997
2022-09-21,104608498.29939997
2022-09-22,105643138.14939998
2022-09-23,105693768.14939998
2022-09-26,102997971.46189998
2022-09-27,103602031.46189998
2022-09-28,102538953.11939998
2022-09-29,102934831.31899998
2022-09-30,102384151.31899998
2022-10-04,103478751.31899998
2022-10-05,102997041.31899998
2022-10-06,104554916.31899998
