date,equity
2020-06-10,98224981.33234996
2020-06-11,98193015.33234996
2020-06-12,98701900.56034997
2020-06-15,94069422.60264997
2020-06-16,97063309.60264997
2020-06-17,98439975.60264997
2020-06-18,98359366.60264997
2020-06-19,98483601.60264997
2020-06-22,99446116.60264997
2020-06-23,100427841.60264997
2020-06-24,100632596.60264997
2020-06-25,100181054.39244996
2020-06-26,100897685.57749997
2020-06-29,100140783.57749997
2020-06-30,100174745.57749997
2020-07-01,100183839.57749997
2020-07-02,101393487.57749997
2020-07-03,102274281.57749997
2020-07-06,103101555.57749997
2020-07-07,103516673.57749997
2020-07-08,104268813.57749997
2020-07-09,105667789.57749997
2020-07-10,106853873.57749997
2020-07-13,107161189.57749997
2020-07-14,106599284.00839998
2020-07-15,106515776.00839998
2020-07-16,104406656.00839998
2020-07-17,104935978.00839998
2020-07-20,103665667.58019997
2020-07-21,105049257.58019997
2020-07-22,106700833.58019997
2020-07-23,108010005.58019997
2020-07-24,107627679.58019997
2020-07-27,109486507.58019997
2020-07-28,109194569.58019997
2020-07-29,109307547.58019997
2020-07-30,108524605.58019997
2020-07-31,108917561.58019997
2020-08-03,110396489.58019997
2020-08-04,110678073.58019997
2020-08-05,113018305.58019997
2020-08-06,112173323.58019997
2020-08-07,112437273.58019997
2020-08-10,112709851.58019997
2020-08-11,112543041.58019997
2020-08-12,112549996.32964998
2020-08-13,112977857.32964998
2020-08-14,111795777.32964998
2020-08-18,108652537.84464997
2020-08-19,109831266.84464997
2020-08-20,107551343.29714999
2020-08-21,108346510.29714999
2020-08-24,109129162.29714999
2020-08-25,109919976.29714999
2020-08-26,109956029.29714999
2020-08-27,110812372.47594997
2020-08-28,110556642.10094997
2020-08-31,110281330.10094997
2020-09-01,110993234.10094997
2020-09-02,111922800.30094999
2020-09-03,112127247.30094999
2020-09-04,111047767.30094999
2020-09-07,110750551.30094999
2020-09-08,110563437.30094999
2020-09-09,109771200.30094999
2020-09-10,110643722.30094999
2020-09-11,111095288.67754999
2020-09-14,111112433.67754999
2020-09-15,112339913.67754999
2020-09-16,110804499.67754999
2020-09-17,109481343.67754999
2020-09-18,110567812.06715
2020-09-21,107527210.62794998
2020-09-22,104342850.07389998
2020-09-23,105000908.07389998
2020-09-24,103373302.4779
2020-09-25,103666905.7919
2020-09-28,104115302.7919
2020-09-29,104540362.7919
2020-10-05,104794412.7919
2020-10-06,104925249.7919
2020-10-07,105144059.7919
2020-10-08,105501832.7919
2020-10-12,105496845.7919
2020-10-13,106069132.7919
2020-10-14,105652805.7919
2020-10-15,105599915.7919
2020-10-16,104579411.86439998
2020-10-19,103691698.86439998
2020-10-20,103663349.86439998
2020-10-21,104567782.86439998
2020-10-22,103544316.78939998
2020-10-23,103573755.78939998
2020-10-26,99967804.25119999
2020-10-27,99703420.25119999
2020-10-28,101754040.25119999
2020-10-29,101933965.25119999
2020-10-30,100305716.18869999
2020-11-02,100227319.18869999
2020-11-03,100750322.18869999
2020-11-04,102204608.18869999
2020-11-05,102931590.18869999
2020-11-06,102606577.18869999
2020-11-09,103268721.18869999
2020-11-10,102319117.18869999
2020-11-11,102886527.18869999
2020-11-12,103784925.18869999
2020-11-13,103708085.18869999
2020-11-16,104541163.73529999
2020-11-17,104330961.73529999
2020-11-18,104798506.73529999
2020-11-19,105071007.73529999
2020-11-20,105664257.73529999
2020-11-23,105519369.73529999
2020-11-24,105165024.73529999
2020-11-25,103803686.73529999
2020-11-26,104420404.73529999
2020-11-27,104875043.73529999
2020-11-30,103796498.73529999
2020-12-01,104439291.73529999
2020-12-02,104650595.73529999
2020-12-03,104946449.73529999
2020-12-04,105290343.73529999
2020-12-07,106015613.73529999
2020-12-08,104701725.73529999
2020-12-09,105388563.73529999
2020-12-10,105280151.73529999
2020-12-11,106051260.73529999
2020-12-14,106567677.73529999
2020-12-15,106294170.02464998
2020-12-16,106776102.02464998
2020-12-17,106805959.02464998
2020-12-18,107309183.02464998
2020-12-21,109165864.02464998
2020-12-22,107591420.02464998
2020-12-23,107820183.02464998
2020-12-24,108958767.10164998
2020-12-28,109909075.10164998
2020-12-29,110915734.10164998
2020-12-30,112488771.72664998
2021-01-04,113901821.72664998
2021-01-05,114710818.72664998
2021-01-06,114208739.72664998
2021-01-07,114668682.72664998
2021-01-08,115943962.72664998
2021-01-11,116134152.72664998
2021-01-12,115507307.72664998
2021-01-13,115680630.72664998
2021-01-14,116288226.72664998
2021-01-15,115251487.02664998
