ticker,stage,entry_date,entry_price,exit_date,exit_price,shares,pnl,pnl_pct,exit_reason,hold_days,sector
352820,B,2023-05-02,270500.0,2023-07-03,282500.0,51,553633.0500000007,0.04008532516626218,MAX_HOLD,62,오락·문화
005389,B,2023-05-03,107000.0,2023-07-03,108000.0,134,74818.90000000037,0.005212230234296006,MAX_HOLD,61,운송장비·부품
003030,B,2023-07-03,207500.0,2023-07-06,202409.0,68,-403017.74540000036,-0.0285297524714049,STOP_LOSS,3,기타금융
111770,B,2023-07-03,63800.0,2023-07-07,61480.0,223,-574166.1280000005,-0.04031000712816628,STOP_LOSS,4,유통
105630,B,2023-07-03,21250.0,2023-07-07,20472.0,671,-578958.8629000001,-0.040557119312790296,STOP_LOSS,4,섬유·의류
033530,B,2023-07-03,9300.0,2023-07-07,8888.5,1535,-688318.6751249991,-0.048161396651914753,STOP_LOSS,4,운송장비·부품
006740,B,2023-05-24,20250.0,2023-07-24,30500.0,698,7075442.775,0.5000046243116713,MAX_HOLD,61,종이·목재
108320,B,2023-06-01,114900.0,2023-07-24,109260.0,121,-737428.6919999998,-0.052980430207611104,STOP_LOSS,53,전기·전자
082740,B,2023-07-13,12090.0,2023-07-26,11230.0,1217,-1103857.9440000001,-0.07493714734259077,SOFT_STOP,13,기계·장비
241560,B,2023-06-05,57600.0,2023-07-28,55070.0,244,-673121.9460000005,-0.047839021583512324,STOP_LOSS,53,기계·장비
361610,B,2023-06-02,91600.0,2023-08-01,109400.0,154,2675277.219999999,0.18943204397911825,MAX_HOLD,60,전기·전자
000660,B,2023-06-02,111000.0,2023-08-01,124000.0,127,1588331.8500000015,0.11254219809381386,MAX_HOLD,60,전기·전자
001200,B,2023-08-01,4415.0,2023-08-02,3530.0,3382,-3045459.716500001,-0.20372737829412377,STOP_LOSS,1,증권
010690,B,2023-06-30,17730.0,2023-08-03,16900.5,796,-716197.7960999999,-0.05068880178657488,STOP_LOSS,34,운송장비·부품
210540,B,2023-07-03,15080.0,2023-08-03,14133.5,946,-951236.8904499989,-0.0666035004704801,STOP_LOSS,31,기계·장비
009540,B,2023-06-05,99200.0,2023-08-04,120500.0,141,2937092.744999999,0.20974312000876408,MAX_HOLD,60,기타금융
001060,B,2023-08-01,40997.0,2023-08-04,35849.0,364,-1929528.0004000012,-0.12915120779871603,SOFT_STOP,3,제약
009450,B,2023-07-03,52000.0,2023-08-16,49212.5,274,-819938.6637499984,-0.05748152845381647,STOP_LOSS,44,전기·전자
460860,B,2023-08-01,13780.0,2023-08-16,11156.0,1083,-2894596.0475999992,-0.19373636138469782,STOP_LOSS,15,금속
006740,B,2023-07-25,34500.0,2023-08-17,45800.0,433,4817218.095000001,0.3220995854767018,HARD_STOP,23,종이·목재
010120,B,2023-07-25,93700.0,2023-08-17,99000.0,159,779131.0050000008,0.052236566155964455,HARD_STOP,23,전기·전자
000680,B,2023-08-01,6720.0,2023-08-17,7250.0,2222,1112965.3589999992,0.07445076554819095,HARD_STOP,16,유통
010140,B,2023-08-01,9000.0,2023-08-17,8500.0,1659,-888270.0750000011,-0.05942332983735378,HARD_STOP,16,운송장비·부품
011760,B,2023-08-01,26950.0,2023-08-17,21400.0,554,-3126843.865,-0.20918883914296332,HARD_STOP,16,유통
028050,B,2023-08-01,36900.0,2023-08-17,35950.0,404,-443788.9500000011,-0.02973511356249264,HARD_STOP,16,일반서비스
192820,B,2023-08-07,103200.0,2023-08-17,136600.0,138,4537212.300000001,0.318222706678018,HARD_STOP,10,화학
017960,B,2023-08-07,14360.0,2023-08-17,13490.0,997,-923530.5715000015,-0.06443213563454962,HARD_STOP,10,금속
001740,B,2023-08-09,6230.0,2023-08-17,6290.0,2317,79426.76000000164,0.005496087204369984,HARD_STOP,8,유통
000100,B,2023-08-10,74748.0,2023-08-17,72068.0,195,-580819.3560000006,-0.039802260792286694,HARD_STOP,7,제약
009450,B,2023-08-16,52600.0,2023-08-17,48300.0,271,-1220306.2249999996,-0.0855095537470312,HARD_STOP,1,전기·전자
013570,B,2023-09-01,8090.0,2023-09-13,6790.0,1735,-2306394.49,-0.16412942174595632,STOP_LOSS,12,기타금융
077500,B,2023-09-01,8205.0,2023-09-26,7743.95,1710,-843594.9882750008,-0.060056517272047624,STOP_LOSS,25,유통
004490,B,2023-09-01,59300.0,2023-10-04,57767.0,236,-418099.4054000005,-0.029841022621624292,STOP_LOSS,33,전기·전자
307950,B,2023-09-01,175800.0,2023-10-19,167215.0,79,-733155.8857499994,-0.05272920356606963,STOP_LOSS,48,IT 서비스
003690,B,2023-11-14,6611.0,2023-11-15,6321.475,1484,-468611.5858549997,-0.04771037301204353,STOP_LOSS,1,보험
084695,B,2023-12-01,28400.0,2023-12-04,23450.0,481,-2429933.8374999985,-0.17767727324844027,STOP_LOSS,3,기타금융
009420,B,2023-11-24,36900.0,2023-12-07,35628.0,372,-528067.9872000013,-0.03842566414477019,STOP_LOSS,13,제약
003690,B,2023-11-23,6679.0,2023-12-08,6489.25,2051,-444193.5560124982,-0.03238888506245952,STOP_LOSS,15,보험
003230,B,2023-11-24,216500.0,2023-12-08,206660.0,63,-674013.1859999988,-0.04935950446824481,STOP_LOSS,14,음식료·담배
001680,B,2023-11-28,21100.0,2023-12-08,20320.5,654,-564866.6506500002,-0.04088712554022591,STOP_LOSS,10,음식료·담배
018260,B,2023-12-01,167900.0,2023-12-08,163450.0,81,-415146.26249999925,-0.030490620717681462,STOP_LOSS,7,IT 서비스
259960,B,2023-12-04,217000.0,2023-12-08,209280.0,63,-540976.3380000014,-0.03952563307956229,STOP_LOSS,4,IT 서비스
294870,B,2023-11-23,14950.0,2023-12-11,14404.5,916,-554350.1699000001,-0.040434154568400195,STOP_LOSS,18,건설
006650,B,2023-11-23,162000.0,2023-12-12,156865.0,84,-485860.34699999914,-0.03566301068585935,STOP_LOSS,19,화학
002320,B,2023-12-01,25050.0,2023-12-14,24056.0,545,-596106.1215000004,-0.0436134253991144,STOP_LOSS,13,운송·창고
018260,B,2023-12-12,172000.0,2023-12-15,164800.0,80,-630716.8000000007,-0.0457843247706998,SOFT_STOP,3,IT 서비스
375500,B,2023-11-23,36950.0,2023-12-19,36080.0,370,-377003.5449999999,-0.027544196974561792,STOP_LOSS,26,건설
035150,B,2023-12-21,10800.0,2024-01-03,10531.8,1268,-395221.4110800028,-0.028826924037357243,STOP_LOSS,13,화학
003920,B,2024-01-02,62400.0,2024-01-03,60901.47,221,-386738.803366499,-0.02801184625661252,STOP_LOSS,1,음식료·담배
323410,B,2024-01-02,28150.0,2024-01-03,27698.5,490,-277135.7067499999,-0.020068682116809,STOP_LOSS,1,은행
000210,B,2023-12-18,49350.0,2024-01-04,48561.0,272,-269010.02639999986,-0.02001765750541891,STOP_LOSS,17,화학
003090,B,2024-01-02,20650.0,2024-01-04,20202.7,668,-354471.17062,-0.02566759921006097,STOP_LOSS,2,제약
185750,B,2023-12-21,119881.0,2024-01-08,117352.75,114,-343402.6289249994,-0.025098586034223692,STOP_LOSS,18,제약
