date,equity,cash,n_positions,exposure
2024-06-12,179450741.03309622,20836131.033096217,12,0.8838894121409429
2024-06-13,179345951.03309622,20836131.033096217,12,0.8838215699151682
2024-06-14,176937851.03309622,20836131.033096217,12,0.8822403973404265
2024-06-17,178880011.03309622,20836131.033096217,12,0.8835189526612834
2024-06-18,182370266.03309622,20836131.033096217,12,0.8857482007000257
2024-06-19,182220691.03309622,20836131.033096217,12,0.8856544176461727
2024-06-20,184330536.03309622,20836131.033096217,12,0.8869632157454632
2024-06-21,181885541.03309622,20836131.033096217,12,0.8854437196340701
2024-06-24,179076201.03309622,20836131.033096217,12,0.8836465654682647
2024-06-25,184006206.03309622,20836131.033096217,12,0.8867639767033263
2024-06-26,186520591.03309622,20836131.033096217,12,0.888290451377569
2024-06-27,186096196.9346587,31641566.934658717,11,0.8299719851568566
2024-06-28,182767331.95665872,56718211.95665871,9,0.6896698586697714
2024-07-01,181228252.7894587,62437690.78945871,9,0.6554748510322203
2024-07-02,179534716.3205212,60178132.320521206,9,0.6648106084781625
2024-07-03,178368176.3205212,60178132.320521206,9,0.6626184470688131
2024-07-04,179343398.3205212,60178132.320521206,9,0.6644530387844481
2024-07-05,177067134.3205212,60178132.320521206,9,0.6601394575484082
2024-07-08,176488020.3205212,60178132.320521206,9,0.6590242657193884
2024-07-09,176061354.3205212,60178132.320521206,9,0.6581979472282918
2024-07-10,178612021.8205212,47813929.820521206,10,0.7323028465095862
2024-07-11,178650913.8205212,47813929.820521206,10,0.732361123724468
2024-07-12,175382322.43552122,35549942.43552121,11,0.7973003097356574
2024-07-15,175457380.43552122,35549942.43552121,11,0.7973870215816572
2024-07-16,177468750.43552122,35549942.43552121,11,0.7996833676448442
2024-07-17,176162906.8547932,34405132.854793206,11,0.8046970643873826
2024-07-18,173074366.8547932,34405132.854793206,11,0.8012118519915858
2024-07-19,172184270.8547932,34405132.854793206,11,0.8001842288846012
2024-07-22,172032263.7297932,57923049.729793206,9,0.6633012408604266
2024-07-23,173960389.7297932,57923049.729793206,9,0.6670331112745659
2024-07-24,173987060.2447932,21377170.244793206,12,0.8771335626068034
2024-07-25,170695336.36869323,170695336.36869323,0,0.0
2024-07-26,170695336.36869323,170695336.36869323,0,0.0
2024-07-29,170695336.36869323,170695336.36869323,0,0.0
2024-07-30,170695336.36869323,170695336.36869323,0,0.0
2024-07-31,170695336.36869323,170695336.36869323,0,0.0
2024-08-01,171752925.66569325,87216225.66569325,7,0.49219947591778207
2024-08-02,168898771.77933326,145002771.77933326,2,0.14148119461294956
2024-08-05,168056841.05333325,168056841.05333325,0,0.0
2024-08-06,168056841.05333325,168056841.05333325,0,0.0
2024-08-07,168056841.05333325,168056841.05333325,0,0.0
2024-08-08,168056841.05333325,168056841.05333325,0,0.0
2024-08-09,168056841.05333325,168056841.05333325,0,0.0
2024-08-12,168056841.05333325,168056841.05333325,0,0.0
2024-08-13,168056841.05333325,168056841.05333325,0,0.0
2024-08-14,168056841.05333325,168056841.05333325,0,0.0
2024-08-16,168056841.05333325,168056841.05333325,0,0.0
2024-08-19,167142446.03333324,156308546.03333324,1,0.06481836455737518
2024-08-20,167003846.03333324,156308546.03333324,1,0.0640422376731687
2024-08-21,167297911.44583324,144612861.44583324,2,0.1355967316265322
2024-08-22,166348845.69583324,132994515.69583324,3,0.20050833452122638
2024-08-23,167107365.69583324,132994515.69583324,3,0.20413732128416043
2024-08-26,168060770.12583324,121289270.12583324,4,0.2783011167030858
2024-08-27,168142516.82583326,109533766.82583325,5,0.3485659136452002
2024-08-28,169328316.82583326,109533766.82583325,5,0.3531278826890079
2024-08-29,169428116.82583326,109533766.82583325,5,0.353508916477951
2024-08-30,170132466.82583326,109533766.82583325,5,0.3561853955955136
2024-09-02,167370185.17723325,26878258.17723325,12,0.8394083262274517
2024-09-03,166105318.17723325,26878258.17723325,12,0.8381854447998207
2024-09-04,167314461.87140223,152516861.87140223,1,0.08844184677456886
2024-09-05,166360461.87140223,152516861.87140223,1,0.08321448404429892
2024-09-06,165830461.87140223,152516861.87140223,1,0.08028440522781873
2024-09-09,165226261.87140223,152516861.87140223,1,0.07692118586990664
2024-09-10,165289861.87140223,152516861.87140223,1,0.0772763668345102
2024-09-11,165258061.87140223,152516861.87140223,1,0.07709881052529065
2024-09-12,165745661.87140223,152516861.87140223,1,0.07981385365165022
2024-09-13,165766861.87140223,152516861.87140223,1,0.07993153667998504
2024-09-19,165819861.87140223,152516861.87140223,1,0.08022561260071989
2024-09-20,167929261.87140223,152516861.87140223,1,0.09177912073360145
2024-09-23,168226061.87140223,152516861.87140223,1,0.09338148813118297
2024-09-24,169158861.87140223,152516861.87140223,1,0.09838089365162295
2024-09-25,168363861.87140223,152516861.87140223,1,0.09412352403809836
2024-09-26,168554661.87140223,152516861.87140223,1,0.09514895537114211
2024-09-27,168003461.87140223,152516861.87140223,1,0.09218024335625996
2024-09-30,167632461.87140223,152516861.87140223,1,0.09017107922447502
2024-10-02,167282661.87140223,152516861.87140223,1,0.08826856193471587
2024-10-04,168130661.87140223,152516861.87140223,1,0.09286705843067754
2024-10-07,168215461.87140223,152516861.87140223,1,0.09332435809022897
2024-10-08,168236661.87140223,152516861.87140223,1,0.09343861097301132
2024-10-10,169339061.87140223,152516861.87140223,1,0.09934034010873963
2024-10-11,169647892.32340223,144053620.32340223,2,0.15086702021154066
2024-10-14,169384508.32340223,144053620.32340223,2,0.1495466630964638
2024-10-15,169881052.32340223,144053620.32340223,2,0.15203244650752673
2024-10-16,169329852.32340223,144053620.32340223,2,0.1492721552235518
2024-10-17,168831652.32340223,144053620.32340223,2,0.14676176924772918
2024-10-18,168904512.32340223,144053620.32340223,2,0.14712982890840645
2024-10-21,169159120.20281222,152199120.20281222,1,0.100260630225943
2024-10-22,168523120.20281222,152199120.20281222,1,0.09686504724309984
2024-10-23,167579720.20281222,152199120.20281222,1,0.09178079532168769
2024-10-24,167993120.20281222,152199120.20281222,1,0.09401575481741428
2024-10-25,167999371.55281222,167999371.55281222,0,0.0
2024-10-28,167999371.55281222,167999371.55281222,0,0.0
2024-10-29,167999371.55281222,167999371.55281222,0,0.0
2024-10-30,167999371.55281222,167999371.55281222,0,0.0
2024-10-31,167999371.55281222,167999371.55281222,0,0.0
2024-11-01,167999371.55281222,167999371.55281222,0,0.0
2024-11-04,167999371.55281222,167999371.55281222,0,0.0
2024-11-05,167999371.55281222,167999371.55281222,0,0.0
2024-11-06,167999371.55281222,167999371.55281222,0,0.0
2024-11-07,168086123.0118122,159608393.0118122,1,0.050436822791160636
2024-11-08,167975963.0118122,159608393.0118122,1,0.049814091551965596
2024-11-11,167943833.0118122,159608393.0118122,1,0.04963230772167581
2024-11-12,168026453.0118122,159608393.0118122,1,0.05009961139516653
2024-11-13,167847443.0118122,159608393.0118122,1,0.0490865386577273
2024-11-14,167804786.21171722,167804786.21171722,0,0.0
2024-11-15,167804786.21171722,167804786.21171722,0,0.0
2024-11-18,167804786.21171722,167804786.21171722,0,0.0
2024-11-19,167804786.21171722,167804786.21171722,0,0.0
2024-11-20,167804786.21171722,167804786.21171722,0,0.0
2024-11-21,167710791.18971723,159416871.18971723,1,0.049453705042854276
2024-11-22,167741871.18971723,159416871.18971723,1,0.04962982671502673
2024-11-25,167590911.18971723,159416871.18971723,1,0.04877376667966663
2024-11-26,167525627.58311725,167525627.58311725,0,0.0
2024-11-27,167525627.58311725,167525627.58311725,0,0.0
2024-11-28,167770894.50311723,159156814.50311723,1,0.05134430513416585
2024-11-29,167658574.50311723,159156814.50311723,1,0.05070876944526287
2024-12-02,167545272.23231724,150780000.23231724,2,0.10006413058766217
2024-12-03,167811402.47231725,142387960.47231725,3,0.15150008655814637
2024-12-04,167320110.90569225,150485718.90569225,2,0.10061188645451281
2024-12-05,166908987.16529226,158541795.16529226,1,0.05013026645302122
2024-12-06,166908987.16529226,158541795.16529226,1,0.05013026645302122
2024-12-09,166908987.16529226,158541795.16529226,1,0.05013026645302122
2024-12-10,166908987.16529226,158541795.16529226,1,0.05013026645302122
2024-12-11,166908987.16529226,158541795.16529226,1,0.05013026645302122
2024-12-12,167676867.16529226,158541795.16529226,1,0.05448021634967
2024-12-13,168306723.16529226,158541795.16529226,1,0.058018644866669807
2024-12-16,168503715.16529226,158541795.16529226,1,0.05911988344131131
2024-12-17,168543243.16529226,158541795.16529226,1,0.05934054556071089
2024-12-18,168543243.16529226,158541795.16529226,1,0.05934054556071089
2024-12-19,168602211.16529226,158541795.16529226,1,0.059669537727100666
2024-12-20,168621867.16529226,158541795.16529226,1,0.059779150649061245
2024-12-23,168602211.16529226,158541795.16529226,1,0.059669537727100666
2024-12-24,168582339.16529226,158541795.16529226,1,0.059558694283838406
2024-12-26,168621867.16529226,158541795.16529226,1,0.059779150649061245
2024-12-27,168611715.16529226,158541795.16529226,1,0.05972254057274921
2024-12-30,168663123.16529226,158541795.16529226,1,0.060009134243772744
2025-01-02,168683643.16529226,158541795.16529226,1,0.06012348209756208
2025-01-03,168673275.16529226,158541795.16529226,1,0.06006570981722862
2025-01-06,168652755.16529226,158541795.16529226,1,0.059951347904696285
2025-01-07,168642603.16529226,158541795.16529226,1,0.05989475856287548
2025-01-08,168632235.16529226,158541795.16529226,1,0.05983695815992366
2025-01-09,168652755.16529226,158541795.16529226,1,0.059951347904696285
2025-01-10,168642603.16529226,158541795.16529226,1,0.05989475856287548
2025-01-13,168868755.16529226,158541795.16529226,1,0.06115376399791516
2025-01-14,168848235.16529226,158541795.16529226,1,0.06103966671556037
2025-01-15,168806979.16529226,158541795.16529226,1,0.06081018717803455
2025-01-16,168827715.16529226,158541795.16529226,1,0.06092554169751974
2025-01-17,168817347.16529226,158541795.16529226,1,0.06086786798005428
2025-01-20,168817347.16529226,158541795.16529226,1,0.06086786798005428
2025-01-21,168786459.16529226,158541795.16529226,1,0.06069600636605227
2025-01-22,168765939.16529226,158541795.16529226,1,0.060581797787919146
2025-01-23,168755571.16529226,158541795.16529226,1,0.060524081839027626
2025-01-24,168827715.16529226,158541795.16529226,1,0.06092554169751974
2025-01-31,168766574.82089227,168766574.82089227,0,0.0
2025-02-03,168766574.82089227,168766574.82089227,0,0.0
2025-02-04,168766574.82089227,168766574.82089227,0,0.0
2025-02-05,168766574.82089227,168766574.82089227,0,0.0
2025-02-06,168766574.82089227,168766574.82089227,0,0.0
2025-02-07,168766574.82089227,168766574.82089227,0,0.0
2025-02-10,168766574.82089227,168766574.82089227,0,0.0
2025-02-11,168766574.82089227,168766574.82089227,0,0.0
2025-02-12,168766574.82089227,168766574.82089227,0,0.0
2025-02-13,168766574.82089227,168766574.82089227,0,0.0
2025-02-14,168766574.82089227,168766574.82089227,0,0.0
2025-02-17,168766574.82089227,168766574.82089227,0,0.0
2025-02-18,168766574.82089227,168766574.82089227,0,0.0
2025-02-19,168766574.82089227,168766574.82089227,0,0.0
2025-02-20,167182647.00989228,133414827.00989228,3,0.20198160876111707
