date,ticker,stage,reason
2021-05-10,004960,B,TOTAL_EXP (100.0%>95%)
2021-05-10,009540,B,TOTAL_EXP (100.0%>95%)
2021-05-10,108320,B,TOTAL_EXP (100.0%>95%)
2021-05-11,002380,B,TOTAL_EXP (99.8%>95%)
2021-05-11,004960,B,TOTAL_EXP (100.0%>95%)
2021-05-11,009540,B,TOTAL_EXP (100.0%>95%)
2021-05-11,042660,B,TOTAL_EXP (100.0%>95%)
2021-05-12,002380,B,TOTAL_EXP (100.0%>95%)
2021-05-12,344820,B,TOTAL_EXP (100.0%>95%)
2021-05-12,004960,B,TOTAL_EXP (100.0%>95%)
2021-05-12,009540,B,TOTAL_EXP (100.0%>95%)
2021-05-12,042660,B,TOTAL_EXP (100.0%>95%)
2021-05-12,267250,B,TOTAL_EXP (100.0%>95%)
2021-06-01,001440,B,TOTAL_EXP (98.6%>95%)
2021-06-01,007160,B,TOTAL_EXP (98.5%>95%)
2021-06-01,034020,B,SECTOR_CAP (기계·장비)
2021-06-01,095720,B,TOTAL_EXP (98.6%>95%)
2021-06-01,001340,B,TOTAL_EXP (98.6%>95%)
2021-06-01,047040,B,TOTAL_EXP (98.6%>95%)
2021-06-01,039130,B,TOTAL_EXP (98.5%>95%)
2021-06-01,008060,B,TOTAL_EXP (98.6%>95%)
2021-06-02,007160,B,TOTAL_EXP (98.5%>95%)
2021-06-02,001340,B,TOTAL_EXP (98.5%>95%)
2021-06-02,016590,B,TOTAL_EXP (98.5%>95%)
2021-06-02,047040,B,TOTAL_EXP (98.5%>95%)
2021-06-02,035150,B,TOTAL_EXP (98.5%>95%)
2021-06-02,008060,B,TOTAL_EXP (98.5%>95%)
2021-06-02,095720,B,TOTAL_EXP (98.5%>95%)
2021-06-03,000680,B,TOTAL_EXP (98.4%>95%)
2021-06-03,047040,B,TOTAL_EXP (98.4%>95%)
2021-06-03,039130,B,TOTAL_EXP (98.4%>95%)
2021-06-04,000680,B,TOTAL_EXP (98.9%>95%)
2021-06-04,047040,B,TOTAL_EXP (98.9%>95%)
2021-06-04,003240,B,TOTAL_EXP (98.4%>95%)
2021-06-07,003240,B,TOTAL_EXP (98.4%>95%)
2021-06-08,007160,B,TOTAL_EXP (98.6%>95%)
2021-06-08,001340,B,TOTAL_EXP (98.6%>95%)
2021-06-08,047040,B,TOTAL_EXP (98.6%>95%)
2021-06-08,003240,B,TOTAL_EXP (98.5%>95%)
2021-07-01,298020,B,TOTAL_EXP (99.7%>95%)
2021-07-01,361610,B,TOTAL_EXP (99.9%>95%)
2021-07-01,002350,B,TOTAL_EXP (100.0%>95%)
2021-07-01,007210,B,TOTAL_EXP (100.0%>95%)
2021-07-01,009470,B,TOTAL_EXP (100.0%>95%)
2021-07-01,002380,B,TOTAL_EXP (99.8%>95%)
2021-07-01,120110,B,TOTAL_EXP (100.0%>95%)
2021-07-01,002410,B,TOTAL_EXP (100.0%>95%)
2021-07-01,016090,B,TOTAL_EXP (100.0%>95%)
2021-07-02,007210,B,TOTAL_EXP (100.1%>95%)
2021-07-02,120110,B,TOTAL_EXP (100.0%>95%)
2021-07-02,002410,B,TOTAL_EXP (100.0%>95%)
2021-07-02,005070,B,TOTAL_EXP (100.0%>95%)
2021-07-02,016090,B,TOTAL_EXP (100.1%>95%)
2021-07-05,138040,B,TOTAL_EXP (99.9%>95%)
2021-07-05,016090,B,TOTAL_EXP (99.9%>95%)
2021-07-06,138040,B,TOTAL_EXP (100.0%>95%)
2021-07-06,005070,B,TOTAL_EXP (100.0%>95%)
2021-07-07,138040,B,TOTAL_EXP (100.0%>95%)
2021-07-07,005070,B,TOTAL_EXP (100.0%>95%)
2021-07-08,138040,B,TOTAL_EXP (99.9%>95%)
2021-07-08,005070,B,TOTAL_EXP (99.9%>95%)
2021-08-02,025860,B,SECTOR_EXP (30.0%>30%)
2021-08-02,001390,B,SECTOR_EXP (30.0%>30%)
2021-09-01,004800,B,TOTAL_EXP (97.6%>95%)
2021-09-01,344820,B,TOTAL_EXP (97.7%>95%)
2021-09-01,081000,B,SECTOR_CAP (화학)
2021-09-01,013580,B,TOTAL_EXP (97.7%>95%)
2021-09-02,344820,B,TOTAL_EXP (97.6%>95%)
2021-09-02,013580,B,TOTAL_EXP (97.6%>95%)
2021-09-02,002380,B,SECTOR_CAP (화학)
2021-09-03,145720,B,TOTAL_EXP (97.7%>95%)
2021-09-03,344820,B,TOTAL_EXP (97.7%>95%)
2021-09-03,002380,B,SECTOR_CAP (화학)
2021-09-06,344820,B,TOTAL_EXP (97.8%>95%)
2021-09-07,344820,B,TOTAL_EXP (98.1%>95%)
2021-09-07,069260,B,SECTOR_CAP (화학)
2021-09-07,002380,B,SECTOR_CAP (화학)
2021-09-08,002380,B,SECTOR_CAP (화학)
2021-09-09,069260,B,SECTOR_CAP (화학)
2021-09-13,002380,B,SECTOR_EXP (30.2%>30%)
2021-09-23,344820,B,TOTAL_EXP (97.4%>95%)
2021-09-28,069260,B,SECTOR_EXP (32.0%>30%)
2021-09-29,069260,B,SECTOR_EXP (32.0%>30%)
2023-03-02,088350,B,TOTAL_EXP (98.9%>95%)
2023-03-06,012450,B,TOTAL_EXP (98.8%>95%)
2023-03-07,012450,B,TOTAL_EXP (98.7%>95%)
2023-03-08,042700,B,TOTAL_EXP (98.6%>95%)
2023-03-08,012450,B,TOTAL_EXP (98.6%>95%)
2023-05-15,010690,B,TOTAL_EXP (98.5%>95%)
2023-05-16,010690,B,TOTAL_EXP (98.4%>95%)
2023-06-01,004370,B,TOTAL_EXP (95.5%>95%)
2023-06-08,004710,B,SECTOR_CAP (전기·전자)
2023-06-09,004710,B,SECTOR_CAP (전기·전자)
2023-06-12,004710,B,SECTOR_CAP (전기·전자)
2023-06-13,004710,B,SECTOR_CAP (전기·전자)
2023-06-16,004710,B,SECTOR_CAP (전기·전자)
2023-06-19,004710,B,SECTOR_CAP (전기·전자)
2023-06-28,033530,B,TOTAL_EXP (98.1%>95%)
2023-07-03,010120,B,SECTOR_CAP (전기·전자)
2023-07-04,010120,B,SECTOR_CAP (전기·전자)
2023-07-05,010120,B,SECTOR_CAP (전기·전자)
2023-07-05,082740,B,TOTAL_EXP (100.0%>95%)
2023-07-11,267260,B,SECTOR_CAP (전기·전자)
2023-07-11,010120,B,SECTOR_CAP (전기·전자)
2023-07-12,103590,B,SECTOR_CAP (전기·전자)
2023-07-12,267260,B,SECTOR_CAP (전기·전자)
2023-07-12,010120,B,SECTOR_CAP (전기·전자)
2023-07-13,010120,B,SECTOR_CAP (전기·전자)
2023-07-14,010120,B,SECTOR_CAP (전기·전자)
2023-07-18,248070,B,SECTOR_CAP (전기·전자)
2023-08-01,900140,B,TOTAL_EXP (100.1%>95%)
2023-08-01,000100,B,TOTAL_EXP (100.1%>95%)
2023-08-01,017960,B,TOTAL_EXP (100.1%>95%)
