timestamp,tag,code,name,strategy_state,trigger_reason,bid,ask,bid_size,ask_size,last_price,expected_fill_price,pnl_pct,holding_seconds
2026-04-09 10:13:19.950,SURGE_CANDIDATE,000250,삼천당제약,,rank=16 chg=8.66% vol_surge=False str=0,0,0,0,0,527000,0,0.0,0
2026-04-09 10:13:23.705,SURGE_TR_RECEIVED,,,,START 4 codes,0,0,0,0,0,0,0.0,0
2026-04-09 10:13:54.021,SURGE_TR_RECEIVED,,,,SCAN found=20 filtered=4 new=0,0,0,0,0,0,0,0.0,0
2026-04-09 10:14:24.333,SURGE_TR_RECEIVED,,,,SCAN found=20 filtered=4 new=0,0,0,0,0,0,0,0.0,0
2026-04-09 10:14:54.636,SURGE_TR_RECEIVED,,,,SCAN found=20 filtered=5 new=1,0,0,0,0,0,0,0.0,0
2026-04-09 10:15:24.983,SURGE_TR_RECEIVED,,,,SCAN found=20 filtered=7 new=3,0,0,0,0,0,0,0.0,0
2026-04-09 10:15:55.310,SURGE_TR_RECEIVED,,,,SCAN found=20 filtered=8 new=4,0,0,0,0,0,0,0.0,0
2026-04-09 10:16:22.801,SURGE_CANDIDATE,047040,대우건설,,rank=2 chg=3.33% vol_surge=False str=0,0,0,0,0,23300,0,0.0,0
2026-04-09 10:16:22.802,SURGE_CANDIDATE,319400,현대무벡스,,rank=6 chg=6.51% vol_surge=False str=0,0,0,0,0,31100,0,0.0,0
2026-04-09 10:16:22.802,SURGE_CANDIDATE,028050,삼성E&A,,rank=8 chg=4.75% vol_surge=False str=0,0,0,0,0,52900,0,0.0,0
2026-04-09 10:16:22.803,SURGE_CANDIDATE,006110,삼아알미늄,,rank=10 chg=17.42% vol_surge=False str=0,0,0,0,0,49550,0,0.0,0
2026-04-09 10:16:22.803,SURGE_CANDIDATE,017670,SK텔레콤,,rank=12 chg=10.9% vol_surge=False str=0,0,0,0,0,98700,0,0.0,0
2026-04-09 10:16:22.804,SURGE_CANDIDATE,006400,삼성SDI,,rank=13 chg=3.08% vol_surge=False str=0,0,0,0,0,486000,0,0.0,0
2026-04-09 10:16:22.804,SURGE_CANDIDATE,000250,삼천당제약,,rank=14 chg=8.87% vol_surge=False str=0,0,0,0,0,528000,0,0.0,0
2026-04-09 10:16:22.805,SURGE_CANDIDATE,0007J0,인벤테라,,rank=17 chg=6.13% vol_surge=False str=0,0,0,0,0,27700,0,0.0,0
2026-04-09 10:16:23.058,SURGE_TR_RECEIVED,,,,START 8 codes,0,0,0,0,0,0,0.0,0
2026-04-09 10:16:23.102,ENTRY_SIM_FILLED,000250,삼천당제약,A:BOUGHT,lane=A qty=3 fill@524786,523000,524000,83610,123714,523000,524786,0.0,0
2026-04-09 10:16:23.102,ENTRY_SIM_FILLED,0007J0,인벤테라,A:BOUGHT,lane=A qty=60 fill@27742,27650,27700,292827,252333,27700,27742,0.0,0
2026-04-09 10:16:23.103,ENTRY_SIM_FILLED,047040,대우건설,A:BOUGHT,lane=A qty=58 fill@23135,23050,23100,29299540,30557605,23100,23135,0.0,0
2026-04-09 10:16:23.203,ENTRY_SIM_FILLED,017670,SK텔레콤,A:BOUGHT,lane=A qty=10 fill@99550,99200,99400,582212,423710,99300,99550,0.0,0
2026-04-09 10:16:23.204,ENTRY_SIM_FILLED,006110,삼아알미늄,A:BOUGHT,lane=A qty=18 fill@49124,49000,49050,554080,593614,49050,49124,0.0,0
2026-04-09 10:16:53.404,SURGE_TR_RECEIVED,,,,SCAN found=20 filtered=6 new=0,0,0,0,0,0,0,0.0,0
2026-04-09 10:17:23.749,SURGE_TR_RECEIVED,,,,SCAN found=20 filtered=5 new=0,0,0,0,0,0,0,0.0,0
2026-04-09 10:17:54.101,SURGE_TR_RECEIVED,,,,SCAN found=20 filtered=5 new=0,0,0,0,0,0,0,0.0,0
2026-04-09 10:18:24.445,SURGE_TR_RECEIVED,,,,SCAN found=20 filtered=5 new=0,0,0,0,0,0,0,0.0,0
2026-04-09 10:18:34.600,SL_HIT,0007J0,인벤테라,A:CLOSED,lane=A SL,27450,27500,0,0,27500,27408,-1.414,131.5
2026-04-09 10:18:54.789,SURGE_TR_RECEIVED,,,,SCAN found=20 filtered=5 new=0,0,0,0,0,0,0,0.0,0
2026-04-09 10:19:25.103,SURGE_TR_RECEIVED,,,,SCAN found=20 filtered=5 new=0,0,0,0,0,0,0,0.0,0
2026-04-09 10:19:55.414,SURGE_TR_RECEIVED,,,,SCAN found=20 filtered=5 new=0,0,0,0,0,0,0,0.0,0
2026-04-09 10:20:25.730,SURGE_TR_RECEIVED,,,,SCAN found=20 filtered=6 new=1,0,0,0,0,0,0,0.0,0
2026-04-09 10:20:25.800,SURGE_CANDIDATE,475150,SK이터닉스,,rank=19 chg=3.28% vol_surge=False str=0,0,0,0,0,59800,0,0.0,0
2026-04-09 10:20:25.899,ENTRY_SIM_FILLED,475150,SK이터닉스,A:BOUGHT,lane=A qty=17 fill@59790,59600,59700,404055,664127,59700,59790,0.0,0
2026-04-09 10:20:55.999,SL_HIT,047040,대우건설,A:CLOSED,lane=A SL,22900,22950,0,0,22950,22865,-1.3771,272.9
2026-04-09 10:20:56.092,SURGE_TR_RECEIVED,,,,SCAN found=20 filtered=5 new=0,0,0,0,0,0,0,0.0,0
