date,equity,n_positions
2022-10-17,93814586.84437251,0
2022-10-18,95835388.84437251,0
2022-10-19,95202669.8443725,0
2022-10-20,95134706.8443725,0
2022-10-21,94302202.8443725,0
2022-10-24,95247652.3443725,0
2022-10-25,94950767.8443725,0
2022-10-26,94043545.18537249,0
2022-10-27,94695207.18537249,0
2022-10-28,95046828.61199749,0
2022-10-31,94927632.11199749,0
2022-11-01,95288385.11199749,0
2022-11-02,95401606.1119975,0
2022-11-03,94853389.61199749,0
2022-11-04,95703506.61199749,0
2022-11-07,95889972.61199749,0
2022-11-08,95523310.61199749,0
2022-11-09,96084057.61199749,0
2022-11-10,95821230.61199749,0
2022-11-11,96443442.61199749,0
2022-11-14,97296993.67199752,0
2022-11-15,97179103.42318499,0
2022-11-16,97801068.423185,0
2022-11-17,98350004.07318501,0
2022-11-18,97877521.573185,0
2022-11-21,99112255.573185,0
2022-11-22,100407137.825685,0
2022-11-23,100738269.825685,0
2022-11-24,101368933.975685,0
2022-11-25,104114436.825685,0
2022-11-28,102329830.475685,0
2022-11-29,102212650.82568501,0
2022-11-30,103495331.32568501,0
2022-12-01,103760856.325685,0
2022-12-02,103934931.475685,0
2022-12-05,103889996.475685,0
2022-12-06,103191499.475685,0
2022-12-07,104036628.975685,0
2022-12-08,102485918.648685,0
2022-12-09,103456555.49868497,0
2022-12-12,103285951.648685,0
2022-12-13,103719740.648685,0
2022-12-14,104096908.27830997,0
2022-12-15,103997110.77830997,0
2022-12-16,104861373.27830997,0
2022-12-19,104583115.42830998,0
2022-12-20,104805415.42830999,0
2022-12-21,105158829.01331,0
2022-12-22,105192414.36331001,0
2022-12-23,103509344.01331,0
2022-12-26,104070889.01331002,0
2022-12-27,104765579.36331001,0
2022-12-28,105775759.01331,0
2022-12-29,103295163.66330999,0
2023-01-02,103278982.56030999,0
2023-01-03,103002200.06031,0
2023-01-04,103057870.06030999,0
2023-01-05,103053303.30642751,0
2023-01-06,104348010.80642748,0
2023-01-09,105958308.3064275,0
2023-01-10,106477720.8064275,0
2023-01-11,106405805.8064275,0
2023-01-12,106543460.8064275,0
2023-01-13,106801817.07792749,0
2023-01-16,107270974.57792749,0
2023-01-17,108144452.07792749,0
2023-01-18,108648759.5779275,0
2023-01-19,110119882.07792749,0
2023-01-20,110398944.5779275,0
2023-01-25,109981609.57792749,0
2023-01-26,109724017.0779275,0
2023-01-27,110659890.57792749,0
2023-01-30,109661488.07792749,0
2023-01-31,109941073.07792749,0
2023-02-01,109713548.07792749,0
2023-02-02,107612718.0779275,0
2023-02-03,108080640.5779275,0
2023-02-06,108141630.5779275,0
2023-02-07,107747143.0779275,0
2023-02-08,108672348.0779275,0
2023-02-09,108098975.57792749,0
2023-02-10,108611263.0779275,0
2023-02-13,108443350.57792749,0
2023-02-14,108447150.57792749,0
2023-02-15,107492905.1747025,0
2023-02-16,107654456.47470249,0
2023-02-17,108294783.07470249,0
2023-02-20,108650105.8747025,0
2023-02-21,108991929.17470248,0
2023-02-22,108865157.37470248,0
2023-02-23,110021870.89095248,0
2023-02-24,109831563.0909525,0
2023-02-27,109971376.4909525,0
2023-02-28,109919249.26895249,0
2023-03-02,110151345.66895248,0
2023-03-03,109360938.06895249,0
2023-03-06,109204408.46895248,0
2023-03-07,109330275.8689525,0
2023-03-08,109110326.07395248,0
2023-03-09,108762793.27395247,0
2023-03-10,108795127.47395249,0
2023-03-13,108968074.36120248,0
2023-03-14,108273313.9012025,0
2023-03-15,109034286.70120248,0
2023-03-16,108973913.72620249,0
2023-03-17,109185377.61133748,0
2023-03-20,108302400.1113375,0
2023-03-21,108759872.61133748,0
2023-03-22,109468525.11133748,0
2023-03-23,109051190.11133748,0
2023-03-24,108933627.6113375,0
2023-03-27,108959372.61133748,0
2023-03-28,109714385.11133748,0
2023-03-29,110208575.11133748,0
2023-03-30,109990217.6113375,0
2023-03-31,111228495.11133748,0
2023-04-03,110917892.61133748,0
2023-04-04,110765037.6113375,0
2023-04-05,110816575.11133748,0
2023-04-06,110389455.11133748,0
2023-04-07,109988840.1113375,0
2023-04-10,110291130.11133748,0
2023-04-11,110222777.6113375,0
2023-04-12,110380287.6113375,0
2023-04-13,111015647.61133748,0
2023-04-14,111661695.11133748,0
2023-04-17,111750878.44478247,0
2023-04-18,111588019.94478247,0
2023-04-19,112205497.14478247,0
2023-04-20,111810935.54478247,0
2023-04-21,110589562.34478247,0
2023-04-24,96833722.9280325,0
2023-04-25,96282493.4445125,0
2023-04-26,96310437.88451248,0
2023-04-27,96444625.38451248,0
2023-04-28,96411375.38451248,0
2023-05-02,96541762.88451248,0
2023-05-03,96458257.88451248,0
2023-05-04,96071180.38451248,0
2023-05-08,96374182.8845125,0
2023-05-09,96346537.88451248,0
2023-05-10,96330150.3845125,0
2023-05-11,96118680.38451248,0
2023-05-12,94974785.38451248,0
2023-05-15,94749492.88451248,0
2023-05-16,95098855.3845125,0
2023-05-17,94726265.38451248,0
2023-05-18,94369637.7155275,0
2023-05-19,93993426.6385275,0
2023-05-22,94500644.9385275,0
2023-05-23,95313249.28852749,0
2023-05-24,95951963.7385275,0
2023-05-25,94700282.68852751,0
2023-05-26,93964661.58852752,0
2023-05-30,93861620.78852749,0
2023-05-31,93639154.53852749,0
2023-06-01,94039458.88852751,0
2023-06-02,95111202.3385275,0
2023-06-05,96221614.5885275,0
2023-06-07,96294982.13852751,0
2023-06-08,96332083.4385275,0
2023-06-09,96607733.53852749,0
2023-06-12,96057212.48625249,0
2023-06-13,95696514.5862525,0
2023-06-14,95417445.43625249,0
2023-06-15,94732481.18625249,0
2023-06-16,95236096.13625251,0
2023-06-19,94522007.13775249,0
2023-06-20,93628245.02471499,0
2023-06-21,93764041.82471499,0
2023-06-22,94346418.42471501,0
2023-06-23,93610462.924715,0
2023-06-26,93827866.624715,0
2023-06-27,93596900.55333501,0
2023-06-28,92878624.553335,0
2023-06-29,92246125.003335,0
2023-06-30,93006520.203335,0
2023-07-03,94307932.80333501,0
2023-07-04,93256383.503335,0
2023-07-05,93092384.79813498,0
2023-07-06,92195423.29813498,0
2023-07-07,92038821.49813499,0
2023-07-10,92442054.69813499,0
2023-07-11,93248769.998135,0
2023-07-12,93777795.548135,0
2023-07-13,93686671.548135,0
2023-07-14,94973469.34813498,0
2023-07-17,94476853.04813498,0
2023-07-18,94179071.74813499,0
2023-07-19,94254356.19578497,0
2023-07-20,93932599.41328497,0
2023-07-21,94552345.213285,0
2023-07-24,95710309.71328498,0
2023-07-25,96440992.71328498,0
2023-07-26,94372134.14390998,0
2023-07-27,94530141.94391,0
2023-07-28,95704330.55341,0
2023-07-31,96904007.65341,0
2023-08-01,95746435.85490997,0
2023-08-02,94697256.07654499,0
2023-08-03,93964834.57654497,0
2023-08-04,94519891.07654497,0
2023-08-07,94108934.40029499,0
2023-08-08,94024678.90029499,0
2023-08-09,93730995.90029499,0
2023-08-10,94768747.40029499,0
2023-08-11,95201263.40029499,0
2023-08-14,95561740.90029499,0
2023-08-16,94390590.40029499,0
2023-08-17,94012290.90029499,0
2023-08-18,93381740.27838248,0
2023-08-21,93294600.33613248,0
2023-08-22,93499154.33613248,0
2023-08-23,93647534.83613248,0
2023-08-24,94158672.83613248,0
2023-08-25,93327181.38413247,0
2023-08-28,94495368.83413249,0
2023-08-29,94736507.33413248,0
2023-08-30,94097261.83413248,0
2023-08-31,94230945.83413248,0
2023-09-01,93269290.2841325,0
2023-09-04,93240685.78413248,0
2023-09-05,93061781.78413248,0
2023-09-06,92614502.78413248,0
2023-09-07,92089593.97363248,0
2023-09-08,92116089.47363248,0
2023-09-11,92715520.47363247,0
2023-09-12,91997495.12400748,0
2023-09-13,91980526.28561498,0
2023-09-14,92654218.78561498,0
2023-09-15,93495994.78561498,0
2023-09-18,92608621.89197248,0
2023-09-19,93116907.04197247,0
2023-09-20,92737563.49197249,0
2023-09-21,91100180.54197247,0
2023-09-22,90857588.41609748,0
2023-09-25,90716146.71609747,0
2023-09-26,90109759.81609747,0
2023-09-27,90199400.8660975,0
2023-10-04,88542932.89442249,0
2023-10-05,88441641.04442249,0
2023-10-06,88923745.1444225,0
2023-10-10,88489368.09442249,0
2023-10-11,88742183.99442248,0
2023-10-12,89160700.79442249,0
2023-10-13,88453022.99442248,0
2023-10-16,88243901.39442249,0
2023-10-17,88377700.34442249,0
2023-10-18,88058823.4802725,0
2023-10-19,87003259.79377247,0
2023-10-20,86517291.09377247,0
2023-10-23,86526834.79377247,0
2023-10-24,86460798.9546525,0
2023-10-25,88095650.15465249,0
2023-10-26,86274705.35465251,0
2023-10-27,85968907.9546525,0
2023-10-30,86763541.15465249,0
2023-10-31,86245145.15465249,0
2023-11-01,87560990.15465249,0
2023-11-02,87368736.75465249,0
2023-11-03,87732126.95465249,0
2023-11-06,91020770.45465249,0
2023-11-07,90326335.6546525,0
2023-11-08,89268730.18065248,0
2023-11-09,89503532.18065248,0
2023-11-10,88882589.38065249,0
2023-11-13,88668703.91302748,0
2023-11-14,88883561.61302747,0
2023-11-15,89388287.11302748,0
2023-11-16,89498575.41552748,0
