code,entry_date,exit_date,entry_price,exit_price,qty,pnl,pnl_pct,hold_days,exit_reason,q_score
042700,20231109,20231113,61623.0,57684.4,83,-336240.0201399997,-0.06573981435502972,3,MA20,61.25
006360,20231103,20231116,13737.42,15520.602302857142,320,560933.4810773022,0.12760162595062022,10,TP,39.0
028260,20231103,20231121,107514.6,118277.5708,40,421293.1814776007,0.09796185389649423,13,TP,52.5
002380,20231113,20231121,240981.0,233033.0,18,-151243.45830000006,-0.034867538727119576,7,MA20,52.5
097950,20231103,20231122,290079.0,326745.6277142857,15,540442.1061036428,0.1242057292676921,14,TP,45.0
000660,20231107,20231124,130660.8,127744.0,39,-123470.13120000064,-0.0242299205270442,14,MA20,61.25
030200,20231122,20231124,33015.9,32834.2,148,-36367.55012000073,-0.007442677316081188,3,MA20,52.5
039030,20231110,20231127,167033.4,157883.6,26,-245899.49851999944,-0.05662144828519314,12,MA20,61.25
007070,20231103,20231128,20867.652,21210.494,210,63311.122707,0.014447314757788755,18,MA20,45.0
016360,20231103,20231129,37224.3,38273.3,118,114975.31367000006,0.026175564483415414,19,MA20,45.0
091990,20231103,20231129,67334.4,71157.4,65,239475.79955000058,0.05471561445561272,19,MA20,45.0
007310,20231103,20231129,388776.0,380737.0,11,-96595.80865000002,-0.02258739518385909,19,MA20,39.0
033780,20231124,20231129,90781.2,88323.0,54,-142043.21189999953,-0.028975491070838362,4,MA20,61.25
068270,20231127,20231129,150067.536,148458.488,27,-51260.63539319951,-0.012651250911456174,3,MA20,61.25
000080,20231121,20231130,23196.3,22055.8,192,-227233.69151999988,-0.05102144781710874,8,MA20,61.25
005940,20231129,20231130,10300.56,10239.48,429,-34769.15699400008,-0.007868211631212301,2,MA20,61.25
141080,20231103,20231201,39027.9,47878.37991428571,112,980797.112226719,0.22438094474601117,21,TP,60.0
012330,20231116,20231201,230961.0,226546.0,22,-106848.82340000011,-0.021028505678447898,12,MA20,52.5
009830,20231129,20231201,32565.0,31786.3,135,-113492.24347499944,-0.0258155469061875,3,MA20,57.5
005930,20231103,20231205,69739.2,71057.6,63,74329.77384000178,0.016917855094409292,23,MA20,45.0
001040,20231103,20231206,84468.6,102940.87708571428,52,950120.203520651,0.21631165161251795,24,TP,52.5
003230,20231129,20231207,216933.0,207584.0,20,-195075.77600000007,-0.04496221782762421,7,MA20,61.25
003690,20231130,20231207,6573.12,6521.93,669,-42754.29378150031,-0.009722591935032445,6,MA20,61.25
001430,20231201,20231207,25450.8,24500.9,191,-190556.2602049997,-0.039200211977619505,5,MA20,61.25
055550,20231205,20231207,36773.4,36277.3,123,-69721.41040499974,-0.01541442278929873,3,MA20,61.25
053800,20231103,20231208,66132.0,73627.30742857142,66,485214.4558196571,0.11116757665102693,26,TP,52.5
006650,20231103,20231211,157113.6,158183.0,27,20545.465050000697,0.004843267228298669,27,MA20,42.0
000210,20231103,20231212,45591.0,48053.7,96,227423.54735999927,0.051961906626307654,28,MA20,54.0
071050,20231103,20231212,54308.4,62700.60462857143,80,661595.0759636583,0.15227733554193695,28,TP,45.0
004560,20231121,20231212,14949.84,14979.98,299,277.78266100026667,6.214374200666307e-05,16,MA20,61.25
002200,20231130,20231212,3141.27,3203.58,1400,78488.22660000063,0.0178472461775016,9,MA20,61.25
950130,20231201,20231213,8126.22,7854.26,599,-172078.20839300007,-0.035351714204144125,9,MA20,53.75
010140,20231207,20231213,7915.8,7844.28,557,-48356.704722000286,-0.010967475934207598,5,MA20,57.5
004430,20231212,20231213,19539.0,18612.7,237,-228134.95930499956,-0.049265303495572864,2,MA20,61.25
060250,20231212,20231214,11172.3,10479.0,416,-296913.36480000056,-0.0638842539136974,3,MA20,61.25
141080,20231206,20231215,47845.5,46107.6,111,-202886.89002000075,-0.03820233501583235,8,MA20,61.25
001450,20231207,20231218,31813.5,30638.6,138,-170381.04726000037,-0.03880884750184679,8,MA20,57.5
053800,20231212,20231218,71242.2,68562.6,65,-182864.30954999942,-0.0394891941854686,5,MA20,61.25
011170,20231128,20231219,159217.8,155787.8,28,-104546.01388000045,-0.023450808954777774,16,MA20,57.5
015760,20231213,20231219,19228.38,18592.74,234,-157223.627262,-0.034942925145020017,5,MA20,61.25
001430,20231213,20231219,26653.2,25249.4,169,-245563.13976999838,-0.05451639315354218,5,MA20,61.25
036810,20231208,20231220,25117.134000000002,23643.618,196,-297845.72679960076,-0.0605013714980381,9,MA20,61.25
000990,20231129,20231221,58216.2,58882.0,75,41323.50749999937,0.00946437761310411,17,MA20,61.25
005380,20231207,20231221,182965.2,200050.01245714285,24,400673.158388434,0.09124530201836968,11,TP,57.5
009540,20231215,20231221,113827.2,110179.2,45,-173828.22479999997,-0.03393608416968878,5,MA20,61.25
066970,20231221,20231226,193686.6,178442.4,24,-374211.90432000067,-0.08050202068702753,3,MA20,57.5
316140,20231124,20231227,12725.4,12864.22,387,44015.35637699999,0.008937618542442672,23,MA20,61.25
001040,20231212,20231227,96292.2,95009.6,48,-70457.69855999947,-0.015243900544384582,11,MA20,61.25
071050,20231218,20231227,62524.8,59880.0,69,-190548.054,-0.04416753032396745,7,MA20,61.25
011780,20231219,20231227,138376.2,130638.2,31,-247775.07919000043,-0.05776097688764407,6,MA20,61.25
000270,20231201,20231228,85971.6,100227.8853714286,56,787407.0957174404,0.16355216135275244,19,TP,43.75
