date,equity,n_pos
2020-06-10,84019886.16029999,9
2020-06-11,85053373.99529998,8
2020-06-12,84481486.23479998,6
2020-06-15,84328537.26444998,2
2020-06-16,85811945.7271,20
2020-06-17,83694542.81459999,19
2020-06-18,84962115.6521,17
2020-06-19,84843087.6521,17
2020-06-22,86635040.6256,16
2020-06-23,86571414.6256,16
2020-06-24,87054817.11234999,15
2020-06-25,86229554.22485,14
2020-06-26,85902733.22485,14
2020-06-29,85526957.09235,12
2020-06-30,85028690.60085,11
2020-07-01,84101575.04085,9
2020-07-02,85343108.04085,9
2020-07-03,86679623.04085,9
2020-07-06,86213681.04085,9
2020-07-07,86364961.69735,8
2020-07-08,86845581.69735,8
2020-07-09,87428126.69735,8
2020-07-10,89619066.69735,8
2020-07-13,90964802.69735,8
2020-07-14,90879093.69735,8
2020-07-15,88373160.79800001,20
2020-07-16,90038650.79800001,20
2020-07-17,95073446.03130001,19
2020-07-20,98628265.13300002,17
2020-07-21,102768827.7555,16
2020-07-22,109075036.7555,16
2020-07-23,112608023.7555,15
2020-07-24,107896244.7055,13
2020-07-27,111805843.1805,12
2020-07-28,111895047.1805,12
2020-07-29,111749359.04860002,11
2020-07-30,114918038.04860002,11
2020-07-31,116375135.99560001,10
2020-08-03,117717948.65590002,9
2020-08-04,116715962.65590002,9
2020-08-05,117401879.65590002,9
2020-08-06,118541903.65590002,9
2020-08-07,119469671.42590001,8
2020-08-10,118719055.42590001,8
2020-08-11,115933338.6534,6
2020-08-12,115357902.5704,5
2020-08-13,113407469.3473,20
2020-08-14,106927896.0539,14
2020-08-18,107883640.1539,13
2020-08-19,108789110.1539,13
2020-08-20,108963900.09465,11
2020-08-21,108153141.09465,11
2020-08-24,109294821.09465,11
2020-08-25,110885181.09465,11
2020-08-26,110824679.09465,11
2020-08-27,110968661.09465,11
2020-08-28,110371687.79465,10
2020-08-31,112407720.79465,10
2020-09-01,112641468.79465,10
2020-09-02,114296143.79465,10
2020-09-03,115748980.79465,10
2020-09-04,114627588.67435,9
2020-09-07,116653593.67435,9
2020-09-08,114606427.56435,7
2020-09-09,113131295.22185,5
2020-09-10,113988919.22185,5
2020-09-11,114690013.22185,5
2020-09-14,111949680.9334,20
2020-09-15,112251799.9334,20
2020-09-16,112362174.9334,20
2020-09-17,110987582.7167,18
2020-09-18,115276989.6552,17
2020-09-21,110749211.47569999,12
2020-09-22,107127349.5221,8
2020-09-23,106210882.0315,7
2020-09-24,103714065.74425,2
2020-09-25,103316147.74425,2
2020-09-28,103890014.74425,2
2020-09-29,103978925.74425,2
2020-10-05,104549676.74425,2
2020-10-06,105060505.74425,2
2020-10-07,104807251.74425,2
2020-10-08,104997466.74425,2
2020-10-12,104873314.74425,2
2020-10-13,104528440.74425,2
2020-10-14,104709142.74425,2
2020-10-15,104589116.74425,2
2020-10-16,104605988.74425,2
2020-10-19,102248316.4026,20
2020-10-20,101914123.4026,20
2020-10-21,103652583.4026,20
2020-10-22,100072415.23785001,16
2020-10-23,100499377.8286,14
2020-10-26,98281270.37260002,11
2020-10-27,97798847.37260002,11
2020-10-28,98667992.37260002,11
2020-10-29,99449959.37260002,11
2020-10-30,98221292.37260002,11
2020-11-02,98349278.37260002,11
2020-11-03,99176456.37260002,11
2020-11-04,97997379.37260002,11
2020-11-05,99439888.37260002,11
2020-11-06,99165206.07010001,10
2020-11-09,101303562.07010001,10
2020-11-10,99740332.91230002,8
2020-11-11,98087599.07230002,6
2020-11-12,97391911.07230002,5
2020-11-13,97537669.07230002,5
2020-11-16,97408005.07430002,4
2020-11-17,97021146.62980002,20
2020-11-18,100105588.62980002,20
2020-11-19,102513062.81540002,19
2020-11-20,104139004.81540002,19
2020-11-23,103231478.81540002,19
2020-11-24,101886358.13070002,18
2020-11-25,101032826.48660003,17
2020-11-26,101854925.15660003,16
2020-11-27,103033650.15660003,16
2020-11-30,103378068.15660003,16
2020-12-01,103733425.15660003,16
2020-12-02,104313556.03160003,14
2020-12-03,103482940.98660001,13
2020-12-04,103207340.09530002,11
2020-12-07,103837995.10780002,10
2020-12-08,102661451.67580003,9
2020-12-09,102373704.67580003,9
2020-12-10,102083756.67580003,9
2020-12-11,99941146.15080002,6
2020-12-14,100087961.15080002,6
2020-12-15,99691160.15080002,6
2020-12-16,100040189.91640002,20
2020-12-17,100389847.4564,19
2020-12-18,101577519.4564,19
2020-12-21,99737814.21035002,15
2020-12-22,95447198.52055001,8
2020-12-23,93483389.51400003,5
2020-12-24,93488257.51400003,5
2020-12-28,92599261.65300003,3
2020-12-29,93562163.65300003,3
2020-12-30,93201113.65300003,3
2021-01-04,93445463.65300003,3
2021-01-05,93064867.65300003,3
2021-01-06,92647567.27300003,2
2021-01-07,92653579.27300003,2
2021-01-08,92528771.27300003,2
2021-01-11,92121283.27300003,2
2021-01-12,92126607.27300003,2
2021-01-13,92152413.27300003,2
2021-01-14,92037205.27300003,2
2021-01-15,91891597.09640004,1
2021-01-18,92029517.09640004,1
2021-01-19,93395369.25620005,20
2021-01-20,93798384.25620005,20
2021-01-21,95510935.25620005,20
2021-01-22,96678871.25620005,20
2021-01-25,97525984.25620005,20
2021-01-26,95948331.25620005,20
2021-01-27,93562654.40690003,16
2021-01-28,91605763.84440005,13
2021-01-29,89673613.07290004,12
2021-02-01,91104017.31540003,11
2021-02-02,91441149.31540003,11
2021-02-03,92454682.31540003,11
2021-02-04,91885552.31540003,11
2021-02-05,92420086.31540003,11
2021-02-08,92110047.70540005,10
2021-02-09,91623691.70540005,10
2021-02-10,92372674.92330004,9
2021-02-15,93194974.92330004,9
2021-02-16,92540458.90685004,8
2021-02-17,94047180.20235005,7
2021-02-18,93392865.20235005,7
2021-02-19,94099440.94360006,20
2021-02-22,94742764.82815005,18
2021-02-23,94448795.40975004,16
2021-02-24,93688198.40975004,16
2021-02-25,95178372.23725006,15
2021-02-26,94663508.19975005,14
2021-03-02,95483785.31210005,13
2021-03-03,95028329.52460006,12
2021-03-04,92923180.89730005,9
2021-03-05,93037939.57730004,8
2021-03-08,91777766.25440004,7
2021-03-09,92051858.47540006,6
2021-03-10,91620108.51940005,4
2021-03-11,91568137.51940005,4
2021-03-12,90491033.51940005,4
2021-03-15,91094853.51940005,4
2021-03-16,92389703.51940005,4
2021-03-17,92028445.51940005,4
2021-03-18,92079741.51940005,4
2021-03-19,92391630.51940005,4
2021-03-22,93551610.51940005,4
2021-03-23,92403058.98235005,20
2021-03-24,93992899.98235005,20
2021-03-25,95866642.36235005,19
2021-03-26,96136590.36235005,19
2021-03-29,96401829.36235005,19
2021-03-30,95450049.43735005,18
2021-03-31,96541799.43735005,18
2021-04-01,96520486.54235005,17
2021-04-02,98335331.54235005,17
2021-04-05,97553674.22080004,16
2021-04-06,96666954.03425005,15
2021-04-07,97365785.03425005,15
2021-04-08,101762324.03425005,15
2021-04-09,102635014.03425005,15
2021-04-12,104610219.03425005,15
2021-04-13,103156740.03425005,15
2021-04-14,103353414.03425005,15
2021-04-15,102700160.03425005,15
2021-04-16,103642078.75925004,14
2021-04-19,102978140.72675005,13
2021-04-20,102844987.72675005,13
2021-04-21,102404213.61345005,20
2021-04-22,102237140.39845005,19
2021-04-23,102898268.59845005,18
2021-04-26,102208386.59845005,18
2021-04-27,100544306.23605005,17
2021-04-28,98954576.82745005,13
2021-04-29,98233548.40745005,10
2021-04-30,97723609.80535005,9
2021-05-03,96534935.80535005,9
2021-05-04,96393933.80535005,9
2021-05-06,97246148.02985005,8
2021-05-07,98068789.02985005,8
2021-05-10,98050397.02985005,8
2021-05-11,97603154.02575004,7
2021-05-12,97658428.32575005,6
2021-05-13,96436255.29625005,5
2021-05-14,96422832.29625005,5
2021-05-17,96345790.29625005,5
2021-05-18,96492242.29625005,5
2021-05-20,96927189.29625005,5
2021-05-21,96569036.29625005,5
2021-05-24,96731963.32660006,20
2021-05-25,96468626.22660005,19
2021-05-26,97568272.22660005,19
2021-05-27,97321766.22660005,19
2021-05-28,98753443.22660005,19
2021-05-31,97111813.45015006,17
2021-06-01,101853273.45015006,17
2021-06-02,102071357.45015006,17
2021-06-03,101881590.45015006,17
2021-06-04,101023318.45015006,17
2021-06-07,97976586.00015005,13
2021-06-08,97764731.00015005,13
2021-06-09,97393194.80515006,11
2021-06-10,96628433.38015005,9
2021-06-11,96304693.38015005,9
2021-06-14,96145880.28015006,8
2021-06-15,96196282.28015006,8
