date,equity,n_pos
2021-11-08,76598850.95019993,10
2021-11-09,76290919.32219994,8
2021-11-10,75078222.47419994,6
2021-11-11,75362812.47419994,6
2021-11-12,76617852.47419994,6
2021-11-15,76329002.47419994,6
2021-11-16,75591840.27419993,4
2021-11-17,75550903.05669993,3
2021-11-18,75655903.05669993,3
2021-11-19,75825903.05669993,3
2021-11-22,75364353.05669993,3
2021-11-23,75739603.05669993,3
2021-11-24,76088997.87759992,20
2021-11-25,74891966.87759992,20
2021-11-26,73478831.87759992,20
2021-11-29,70975379.32909992,17
2021-11-30,69293416.94359994,11
2021-12-01,69867698.50359994,10
2021-12-02,70620390.50359994,10
2021-12-03,72327441.50359994,10
2021-12-06,72052989.50359994,10
2021-12-07,72365614.50359994,10
2021-12-08,72120207.50359994,10
2021-12-09,72892821.50359994,10
2021-12-10,72056740.50359994,10
2021-12-13,71239172.50359994,10
2021-12-14,71070212.84809995,8
2021-12-15,70730171.40809995,7
2021-12-16,70822601.40809995,7
2021-12-17,70681142.40809995,7
2021-12-20,69862725.80809994,6
2021-12-21,70195320.80809994,6
2021-12-22,70061142.30809994,5
2021-12-23,69428519.00209995,20
2021-12-24,70050303.00209995,20
2021-12-27,68783370.72459994,19
2021-12-28,69248905.72459994,19
2021-12-29,70512425.72459994,19
2021-12-30,71006661.72459994,19
2022-01-03,71499813.72459994,19
2022-01-04,71589657.72459994,19
2022-01-05,70084851.40459995,18
2022-01-06,68862682.48809995,12
2022-01-07,70086641.48809995,12
2022-01-10,69242735.48809995,12
2022-01-11,68423124.39269996,10
2022-01-12,69116124.39269996,10
2022-01-13,70023554.39269996,10
2022-01-14,69752934.39269996,10
2022-01-17,69620247.39269996,9
2022-01-18,69145814.81219995,7
2022-01-19,68885311.45619994,6
2022-01-20,69560111.45619994,6
2022-01-21,69107511.45619994,6
2022-01-24,66724014.223649964,20
2022-01-25,63984102.82164996,17
2022-01-26,64559318.10914996,16
2022-01-27,62405386.05439996,12
2022-01-28,63119165.05439996,12
2022-02-03,63553974.03439996,11
2022-02-04,64059548.03439996,11
2022-02-07,64129350.03439996,11
2022-02-08,63471142.46439996,10
2022-02-09,64441808.46439996,10
2022-02-10,64013049.46439996,10
2022-02-11,63260388.880399965,8
2022-02-14,62195047.07679997,7
2022-02-15,61752278.204299964,5
2022-02-16,62347348.204299964,5
2022-02-17,62415433.204299964,5
2022-02-18,62986563.204299964,5
2022-02-21,62950058.204299964,5
2022-02-22,62350919.04429996,4
2022-02-23,62784059.04429996,4
2022-02-24,62611589.04429996,4
2022-02-25,63836598.02644996,20
2022-02-28,64996472.02644996,20
2022-03-02,66081241.02644996,20
2022-03-03,67047660.02644996,20
2022-03-04,67019816.43644997,19
2022-03-07,65820750.16144997,18
2022-03-08,63873239.84769997,16
2022-03-10,63810586.84769997,16
2022-03-11,64834661.75449997,13
2022-03-14,64095954.73399997,11
2022-03-15,63198997.551249966,8
2022-03-16,63098940.301249966,7
2022-03-17,63169460.301249966,7
2022-03-18,63017320.301249966,7
2022-03-21,62359992.56124997,5
2022-03-22,62353692.56124997,5
2022-03-23,63153182.56124997,5
2022-03-24,63373659.06124997,4
2022-03-25,63164809.06124997,4
2022-03-28,63208929.06124997,4
2022-03-29,62824719.06124997,4
2022-03-30,62307824.85519998,20
2022-03-31,63076487.85519998,20
2022-04-01,62799010.30769998,19
2022-04-04,63239937.17269997,18
2022-04-05,63366705.17269997,18
2022-04-06,63373323.17269997,18
2022-04-07,62688809.17269997,18
2022-04-08,63587134.17269997,18
2022-04-11,62762831.12194998,16
2022-04-12,63146390.19694997,15
2022-04-13,63687122.19694997,15
2022-04-14,63982327.19694997,15
2022-04-15,64016610.19694997,15
2022-04-18,64080843.19694997,15
2022-04-19,64841049.19694997,15
2022-04-20,64681851.19694997,15
2022-04-21,65560382.19694997,15
2022-04-22,66093388.19694997,15
2022-04-25,63816240.226949975,12
2022-04-26,63487317.226949975,12
2022-04-27,63193384.491949975,11
2022-04-28,62399293.24049998,20
2022-04-29,62763253.24049998,20
2022-05-02,63042171.24049998,20
2022-05-03,63655043.630499974,19
2022-05-04,63873609.520499974,18
2022-05-06,63757354.91799998,17
2022-05-09,62387741.14994998,12
2022-05-10,61879031.14994998,12
2022-05-11,61262384.76994998,11
2022-05-12,60228980.377949975,6
2022-05-13,60441180.377949975,6
2022-05-16,60926253.377949975,6
2022-05-17,60858075.377949975,6
2022-05-18,60239891.79794998,5
2022-05-19,59991003.79794998,5
2022-05-20,60156781.79794998,5
2022-05-23,59765958.237949975,4
2022-05-24,59677448.04144997,3
2022-05-25,59793928.04144997,3
2022-05-26,59672818.04144997,3
2022-05-27,59671286.62444997,2
2022-05-30,59472830.58344996,20
2022-05-31,59608044.58344996,20
2022-06-02,59369202.58344996,20
2022-06-03,58060097.58344996,20
2022-06-07,57451540.58344996,20
2022-06-08,56945041.37944996,19
2022-06-09,56376366.214449964,17
2022-06-10,55838609.16444996,16
2022-06-13,53915771.67089996,7
2022-06-14,54081711.09089996,6
2022-06-15,53835785.09089996,6
2022-06-16,54292273.09089996,6
2022-06-17,54360151.68089996,5
2022-06-20,54213468.68089996,5
2022-06-21,53926271.68089996,5
2022-06-22,53317852.47449996,3
2022-06-23,52274137.58499996,0
2022-06-24,52274137.58499996,0
2022-06-27,52274137.58499996,0
2022-06-28,52274137.58499996,0
2022-06-29,52274137.58499996,0
2022-06-30,50335694.69159997,20
2022-07-01,49300598.914899975,18
2022-07-04,48430726.462399974,15
2022-07-05,49718812.462399974,15
2022-07-06,48407850.462399974,15
2022-07-07,49525864.462399974,15
2022-07-08,50385178.462399974,15
2022-07-11,51079094.462399974,15
2022-07-12,50659684.77764997,14
2022-07-13,50945116.47264998,13
2022-07-14,50931338.47264998,13
2022-07-15,51320058.24764997,12
2022-07-18,53615440.24764997,12
2022-07-19,53348004.24764997,12
2022-07-20,53321866.24764997,12
2022-07-21,50807888.04014997,10
2022-07-22,50657960.04014997,10
2022-07-25,50954796.04014997,10
2022-07-26,51136378.04014997,10
2022-07-27,51128859.04014997,10
2022-07-28,51061567.04014997,10
2022-07-29,51712403.217699975,20
2022-08-01,52358160.217699975,20
2022-08-02,52115598.217699975,20
2022-08-03,52290075.217699975,20
2022-08-04,51710203.397699974,19
2022-08-05,51352448.25349997,18
2022-08-08,52078613.25349997,18
2022-08-09,52027638.25349997,18
2022-08-10,52490450.25349997,18
2022-08-11,52941921.25349997,18
2022-08-12,53365627.25349997,18
2022-08-16,53009464.053499974,17
2022-08-17,53342961.20349997,16
2022-08-18,53800369.20349997,16
2022-08-19,52904569.78349997,15
2022-08-22,52691343.31544997,13
2022-08-23,53010912.51544997,12
2022-08-24,53200894.51544997,12
2022-08-25,53779958.51544997,12
2022-08-26,53937682.51544997,12
2022-08-29,53484794.56544997,11
2022-08-30,53698742.25104997,20
2022-08-31,54263562.25104997,20
2022-09-01,52607713.07754997,18
2022-09-02,52652745.83804997,17
2022-09-05,52376089.94804997,15
2022-09-06,52883539.94804997,15
2022-09-07,52799388.84804997,13
