date,equity,n_pos
2020-11-04,97226282.0368,17
2020-11-05,98450945.0368,17
2020-11-06,97685316.0368,17
2020-11-09,99364296.0368,17
2020-11-10,100354982.0368,17
2020-11-11,102250206.0368,17
2020-11-12,102052651.0368,17
2020-11-13,101822804.0368,17
2020-11-16,102732695.0368,17
2020-11-17,102365861.31685,20
2020-11-18,102636278.31685,20
2020-11-19,102978066.31685,20
2020-11-20,103022826.31685,20
2020-11-23,104191018.31685,20
2020-11-24,105391688.31685,20
2020-11-25,104018475.31685,19
2020-11-26,104702515.31685,19
2020-11-27,104786573.31685,19
2020-11-30,103653142.02785,18
2020-12-01,105314091.02785,18
2020-12-02,106049738.02785,18
2020-12-03,107029310.02785,18
2020-12-04,107016935.02785,18
2020-12-07,106143309.46785,17
2020-12-08,105139162.46785,17
2020-12-09,106443804.46785,17
2020-12-10,106051314.46785,17
2020-12-11,108477776.46785,17
2020-12-14,108314721.46785,17
2020-12-15,108837909.46785,17
2020-12-16,109442285.0992,20
2020-12-17,110319234.0992,20
2020-12-18,110570902.0992,20
2020-12-21,110523733.0992,20
2020-12-22,107701712.0992,20
2020-12-23,110540970.0992,20
2020-12-24,111471446.0992,20
2020-12-28,111649706.0992,20
2020-12-29,111300780.0992,20
2020-12-30,112628549.0992,20
2021-01-04,114762561.0992,20
2021-01-05,117231674.0992,20
2021-01-06,118185589.0992,20
2021-01-07,121790566.0992,20
2021-01-08,124896881.0992,20
2021-01-11,123342722.0992,20
2021-01-12,121764810.0992,20
2021-01-13,122954362.9592,19
2021-01-14,123025473.9592,19
2021-01-15,121216920.9592,19
2021-01-18,118760915.04965,15
2021-01-19,121118330.35260001,20
2021-01-20,121500328.35260001,20
2021-01-21,124196090.35260001,20
2021-01-22,122960806.35260001,20
2021-01-25,125278159.35260001,20
2021-01-26,123427614.35260001,20
2021-01-27,123062431.35260001,20
2021-01-28,120281982.35260001,20
2021-01-29,114739112.825,12
2021-02-01,116714726.825,12
2021-02-02,118333129.825,12
2021-02-03,119867286.825,12
2021-02-04,119965419.825,12
2021-02-05,119995389.825,12
2021-02-08,119353054.6375,11
2021-02-09,118780964.6375,11
2021-02-10,119374421.6375,11
2021-02-15,120298035.6375,11
2021-02-16,120691392.6375,11
2021-02-17,120210601.6375,11
2021-02-18,119070527.6375,11
2021-02-19,117930067.23924999,20
2021-02-22,117809322.68724999,19
2021-02-23,117578448.68724999,19
2021-02-24,113194781.06724998,18
2021-02-25,115383621.06724998,18
2021-02-26,113439389.06724998,18
2021-03-02,113980019.06724998,17
2021-03-03,114803804.06724998,17
2021-03-04,114865567.06724998,17
2021-03-05,112956261.86225,16
2021-03-08,111851992.86225,16
2021-03-09,110677472.39225,14
2021-03-10,109976315.11725,11
2021-03-11,110796673.11725,11
2021-03-12,111767375.11725,11
2021-03-15,112430563.11725,11
2021-03-16,112744457.11725,11
2021-03-17,112413775.11725,11
2021-03-18,112910530.11725,11
2021-03-19,112780368.11725,11
2021-03-22,112804824.11725,11
2021-03-23,109778913.90595001,20
2021-03-24,111670489.90595001,20
2021-03-25,112464395.90595001,20
2021-03-26,113097839.90595001,20
2021-03-29,113755675.90595001,20
2021-03-30,115318929.90595001,20
2021-03-31,115527988.90595001,20
2021-04-01,116703327.90595001,20
2021-04-02,116575222.90595001,20
2021-04-05,116877362.90595001,20
2021-04-06,118254977.90595001,20
2021-04-07,118170980.90595001,20
2021-04-08,118085464.90595001,20
2021-04-09,118210689.90595001,20
2021-04-12,117584141.96295002,18
2021-04-13,117395560.53395002,17
2021-04-14,118701922.53395002,17
2021-04-15,118145488.55370001,16
2021-04-16,118328083.55370001,16
2021-04-19,118931745.55370001,16
2021-04-20,121470733.55370001,16
2021-04-21,120317247.025,20
2021-04-22,121641728.375,19
2021-04-23,124084689.375,19
2021-04-26,124372547.375,19
2021-04-27,125821670.375,19
2021-04-28,123699975.375,19
2021-04-29,124877257.375,19
2021-04-30,125263275.375,19
2021-05-03,122314507.07500002,18
2021-05-04,122932569.07500002,18
2021-05-06,125641574.07500002,18
2021-05-07,128415050.07500002,18
2021-05-10,130175333.1807,17
2021-05-11,132487827.1807,17
2021-05-12,129857600.29390001,16
2021-05-13,127407770.29390001,16
2021-05-14,127071442.3147,15
2021-05-17,125124172.76720001,13
2021-05-18,126292282.76720001,13
2021-05-20,126029607.01795,12
2021-05-21,125306677.01795,12
2021-05-24,124726642.55409999,20
2021-05-25,127158622.55409999,20
2021-05-26,128067779.55409999,20
2021-05-27,128778869.55409999,20
2021-05-28,130467341.55409999,20
2021-05-31,132745683.55409999,20
2021-06-01,132883237.55409999,20
2021-06-02,133446267.55409999,20
2021-06-03,132737996.55409999,20
2021-06-04,132487749.55409999,20
2021-06-07,131425213.89905,19
2021-06-08,131155683.89905,19
2021-06-09,129850004.06904998,18
2021-06-10,128973818.54405,17
2021-06-11,128990686.39405,16
2021-06-14,128707626.39405,16
2021-06-15,129515006.39405,16
2021-06-16,129989346.39405,16
2021-06-17,129009527.75404999,15
2021-06-18,128169407.75404999,15
