,equity
2024-01-24,397861265.9453665
2024-01-25,394491509.628572
2024-01-26,398638638.5381184
2024-01-29,392652180.2120784
2024-01-30,398506688.07353437
2024-01-31,398628852.5479944
2024-02-01,395822315.50159436
2024-02-02,386299364.7439271
2024-02-05,387144806.3207671
2024-02-06,380406301.9728071
2024-02-07,385410974.4297471
2024-02-08,376264590.1277471
2024-02-13,378675048.6015049
2024-02-14,369358643.73051685
2024-02-15,380521075.68455285
2024-02-16,363992058.25179636
2024-02-19,381525752.25179636
2024-02-20,375598144.94570434
2024-02-21,376981089.0987044
2024-02-22,368673408.9564512
2024-02-23,369910941.9591712
2024-02-26,368277559.4965712
2024-02-27,366656317.0320312
2024-02-28,366112135.08153117
2024-02-29,366956346.4162511
2024-03-04,368971942.69515115
2024-03-05,375278621.8176752
2024-03-06,373583842.71768606
2024-03-07,376146712.71768606
2024-03-08,372517174.546086
2024-03-11,377169314.546086
2024-03-12,375660184.5449659
2024-03-13,371786256.6619659
2024-03-14,371459320.76196593
2024-03-15,370073365.8347659
2024-03-18,364145965.94516593
2024-03-19,364114564.1371699
2024-03-20,366663913.2103698
2024-03-21,371413874.2103698
2024-03-22,360595317.38306785
2024-03-25,364986479.96954787
2024-03-26,365772266.5858838
2024-03-27,362483990.32788384
2024-03-28,363953970.84974784
2024-03-29,366960748.41340995
2024-04-01,363108748.28281
2024-04-02,361889327.64392996
2024-04-03,363830249.65032995
2024-04-04,369267170.3759198
2024-04-05,364371768.12991977
2024-04-08,373121768.12991977
2024-04-09,371848020.3371011
2024-04-11,372287970.3371011
2024-04-12,371363820.3371011
2024-04-15,370577548.1831011
2024-04-16,370577548.1831011
2024-04-17,370535848.1831011
2024-04-18,369414417.7531011
2024-04-19,367103217.34158117
2024-04-22,367103217.34158117
2024-04-23,367103217.34158117
2024-04-24,365232873.9415812
2024-04-25,369504563.9415812
2024-04-26,368077736.3082212
2024-04-29,364374386.3082212
2024-04-30,362440570.51022124
2024-05-02,363654270.51022124
2024-05-03,358760315.5788412
2024-05-07,361108466.3906812
2024-05-08,358892825.7380812
2024-05-09,357875642.7783612
2024-05-10,353431875.8649612
2024-05-13,356357799.7702012
2024-05-14,349804669.30649054
2024-05-16,348663445.5255706
2024-05-17,337484499.29397064
2024-05-20,339085167.40717065
2024-05-21,330338086.59217066
2024-05-22,333904204.5608667
2024-05-23,331991243.98716676
2024-05-24,335595476.4382868
2024-05-27,331119073.30828685
2024-05-28,345917811.1662069
2024-05-29,344317611.1662069
2024-05-30,342412124.1662069
2024-05-31,340334426.89120686
2024-06-03,344998651.57572687
2024-06-04,333979766.80192685
2024-06-05,329418162.39245486
2024-06-07,324074336.1232348
2024-06-10,324943992.59283876
2024-06-11,321640217.3796388
2024-06-12,323382562.3796388
2024-06-13,321214168.8896388
2024-06-14,322834874.21763885
2024-06-17,324784392.97363883
2024-06-18,330268484.5883188
2024-06-19,329849682.29871887
2024-06-20,330292153.1720951
2024-06-21,331401435.22209513
2024-06-24,328919563.43777394
2024-06-25,324384816.9029739
2024-06-26,326647306.9029739
2024-06-27,324128801.8038139
2024-06-28,327382267.6949339
2024-07-01,327382267.6949339
2024-07-02,327382267.6949339
2024-07-03,327042170.7499339
2024-07-04,325851660.5788539
2024-07-05,324650599.1388539
2024-07-08,326544999.1388539
2024-07-09,321959335.7936939
2024-07-10,328055758.78690016
2024-07-11,325831418.13266015
2024-07-12,322566607.2538602
2024-07-15,320374875.00386024
2024-07-16,330349282.4030602
2024-07-17,322912032.53215206
2024-07-18,326510477.96215206
2024-07-19,325290708.8443081
2024-07-22,329407652.32704806
2024-07-23,328194164.6496481
2024-07-24,328168646.1526481
2024-07-25,327930576.1526481
2024-07-26,329985496.1526481
2024-07-29,326193271.0326481
2024-07-30,327592755.930248
2024-07-31,322591489.32536805
2024-08-01,322402135.08200246
2024-08-02,323719919.27528244
2024-08-05,323178211.28652143
2024-08-06,323178211.28652143
2024-08-07,323178211.28652143
2024-08-08,318601931.7340214
2024-08-09,321858431.693152
2024-08-12,321502511.693152
2024-08-13,321138876.949192
2024-08-14,315899775.47919196
2024-08-16,316516481.40435195
2024-08-19,309641361.15151197
2024-08-20,311541352.732212
2024-08-21,290019190.132212
2024-08-22,289295590.132212
2024-08-23,290545153.469712
2024-08-26,290147428.469712
2024-08-27,290693413.844712
2024-08-28,289745419.578312
2024-08-29,288350388.67831194
2024-08-30,286905073.194312
2024-09-02,286549315.55519927
2024-09-03,286304182.60829926
2024-09-04,282435924.14229923
2024-09-05,282399998.67569923
2024-09-06,281232871.8756992
2024-09-09,281079534.17649925
2024-09-10,281079534.17649925
2024-09-11,281079534.17649925
2024-09-12,281079534.17649925
2024-09-13,281079534.17649925
2024-09-19,280326962.4579992
2024-09-20,280326962.4579992
2024-09-23,281424713.4579992
2024-09-24,281149817.1175653
2024-09-25,281149817.1175653
2024-09-26,281149817.1175653
2024-09-27,280456055.9755653
2024-09-30,279835314.43951726
2024-10-02,279835314.43951726
2024-10-04,279835314.43951726
2024-10-07,279835314.43951726
2024-10-08,279835314.43951726
2024-10-10,279835314.43951726
2024-10-11,279835314.43951726
2024-10-14,278676837.67951727
2024-10-15,281234115.0531453
2024-10-16,280922757.8531453
2024-10-17,281069797.8531453
2024-10-18,280181054.7424264
2024-10-21,280181054.7424264
2024-10-22,277765222.8294264
2024-10-23,279252900.3449987
2024-10-24,278143222.7058867
2024-10-25,278134521.7295981
2024-10-28,278797173.72009313
2024-10-29,279148426.72009313
2024-10-30,277953272.9089596
2024-10-31,277953272.9089596
2024-11-01,277953272.9089596
2024-11-04,277953272.9089596
2024-11-05,276850282.5589596
2024-11-06,276653828.9785596
2024-11-07,276653828.9785596
2024-11-08,276653828.9785596
2024-11-11,276004339.8720596
2024-11-12,276331823.8720596
2024-11-13,275360268.4540236
2024-11-14,275360268.4540236
2024-11-15,274710380.48302364
2024-11-18,275365682.48302364
2024-11-19,276001191.4417236
2024-11-20,275497946.0081796
2024-11-21,274757811.7481796
2024-11-22,274607077.79019636
2024-11-25,272886298.7001964
2024-11-26,273974378.7001964
2024-11-27,273323075.92923635
2024-11-28,273323075.92923635
2024-11-29,273323075.92923635
2024-12-02,273323075.92923635
2024-12-03,273323075.92923635
2024-12-04,273323075.92923635
2024-12-05,273217657.0817363
2024-12-06,272044942.97719634
2024-12-09,259028240.24969634
2024-12-10,264981752.1967972
2024-12-11,262495554.8467972
2024-12-12,268448262.1557717
2024-12-13,268400577.96977165
2024-12-16,268724882.6340916
2024-12-17,268638270.50959164
2024-12-18,268638270.50959164
2024-12-19,268638270.50959164
2024-12-20,268638270.50959164
2024-12-23,268638270.50959164
2024-12-24,268638270.50959164
2024-12-26,268638270.50959164
2024-12-27,268638270.50959164
2024-12-30,267338867.87209165
2025-01-02,270893681.8303468
2025-01-03,271186579.0536468
2025-01-06,273815971.8529806
2025-01-07,272153977.83298063
2025-01-08,272215681.03218067
2025-01-09,271521817.9981806
2025-01-10,273847787.8355135
2025-01-13,273847787.8355135
2025-01-14,273847787.8355135
2025-01-15,273847787.8355135
2025-01-16,273847787.8355135
2025-01-17,273847787.8355135
2025-01-20,273847787.8355135
