ticker,entry_date,exit_date,entry_price,exit_price,pnl_pct,hold_days,exit_reason
105560,2024-09-12,2024-10-31,77900.0,91432.0,0.1564511598869227,29,TRAIL_SL_12
055550,2024-09-12,2024-10-31,53500.0,52712.0,-0.029216812215923538,29,TRAIL_SL_12
103140,2024-09-12,2024-11-04,55500.0,65120.0,0.15608014571949003,31,TRAIL_SL_12
259960,2024-09-12,2024-11-12,329000.0,311520.0,-0.06705386416861825,37,TRAIL_SL_12
006360,2024-09-12,2024-11-12,18490.0,17406.4,-0.07244732494599038,37,TRAIL_SL_12
263750,2024-09-12,2024-11-13,35100.0,35332.0,-0.008191926268428906,38,TRAIL_SL_12
138930,2024-09-12,2024-12-17,9260.0,10740.0,0.14277262587994466,62,REBALANCE
049430,2024-12-18,2024-12-20,11120.0,10700.8,-0.051847938043008135,2,TRAIL_SL_12
086980,2024-12-18,2024-12-20,4360.0,4122.8,-0.06830811650874813,2,TRAIL_SL_12
001530,2024-12-18,2024-12-27,46303.0,42324.48,-0.09936455485835816,6,TRAIL_SL_12
017800,2024-12-18,2024-12-27,56400.0,53240.0,-0.06990892531876136,6,TRAIL_SL_12
016360,2024-12-18,2025-01-02,46500.0,42812.0,-0.09285001468946474,8,TRAIL_SL_12
032830,2024-12-18,2025-01-06,99600.0,90992.0,-0.0998592841310596,10,TRAIL_SL_12
051600,2024-12-18,2025-01-08,45100.0,43032.0,-0.059883828286867,12,TRAIL_SL_12
058630,2024-12-18,2025-02-03,5590.0,5007.2,-0.11742897641182048,26,TRAIL_SL_12
009540,2024-12-18,2025-02-10,208500.0,221320.0,0.04587826132536588,31,TRAIL_SL_12
086280,2024-12-18,2025-02-10,115500.0,132880.0,0.13355910391975967,31,TRAIL_SL_12
047810,2024-12-18,2025-02-10,54600.0,50512.0,-0.08847526972117115,31,TRAIL_SL_12
175330,2024-12-18,2025-02-11,16800.0,17820.0,0.04511709601873548,32,TRAIL_SL_12
069620,2024-12-18,2025-02-24,132900.0,130592.0,-0.03181549873153322,41,TRAIL_SL_12
033780,2024-12-18,2025-02-27,110300.0,100232.0,-0.10464055804091177,44,TRAIL_SL_12
207940,2024-12-18,2025-03-10,1439366.0,1565818.32,0.07185654503668903,50,TRAIL_SL_12
015760,2024-12-18,2025-03-26,21400.0,22600.0,0.04054579810669923,62,REBALANCE
030200,2024-12-18,2025-03-26,46050.0,49800.0,0.0655313750523876,62,REBALANCE
003690,2024-12-18,2025-03-26,7850.0,8140.0,0.021695033239358175,62,REBALANCE
