ticker,entry_date,exit_date,entry_price,exit_price,pnl_pct,pnl_amount,hold_days,exit_reason,source
417860,2024-08-05,2024-08-02,16300.0,17010.0,0.02821336161575516,280034.534999999,-1,SAT2_TRAIL,SAT2
138040,2024-06-14,2024-08-05,73000.0,75592.0,0.020280320383262218,335269.44000000006,36,CORE_TRAIL,CORE
105560,2024-06-14,2024-08-05,80400.0,81312.0,-0.0035279340999916364,-58239.87839999719,36,CORE_TRAIL,CORE
086790,2024-06-14,2024-08-05,59100.0,59664.0,-0.0053016005103879715,-87670.4135999978,36,CORE_TRAIL,CORE
035150,2024-07-15,2024-08-05,14260.0,12856.8,-0.11165861173062319,-1818952.6343999985,15,CORE_TRAIL,CORE
161890,2024-07-15,2024-08-05,61300.0,58960.0,-0.05231603062961865,-852143.951999998,15,CORE_TRAIL,CORE
104700,2024-07-15,2024-08-05,9050.0,8087.2,-0.11952680614678612,-1947771.5316399974,15,CORE_TRAIL,CORE
294870,2024-07-15,2024-08-05,18490.0,21648.0,0.15357916108840408,2500869.5250000013,15,CORE_TRAIL,CORE
192080,2024-06-26,2024-08-05,46900.0,43425.0,-0.08770873120028977,-935702.7149999992,28,SAT1_TRAIL,SAT1
053050,2024-08-07,2024-08-06,4675.0,4428.0,-0.06676174916518574,-651526.1526000003,-1,SAT1_TRAIL,SAT1
013810,2024-08-07,2024-08-06,5040.0,4536.0,-0.11323397913561839,-1105162.5311999985,-1,SAT1_TRAIL,SAT1
129920,2024-08-08,2024-08-07,6070.0,5913.0,-0.04018900212866783,-390151.7781000002,-1,SAT2_TRAIL,SAT2
013810,2024-08-08,2024-08-08,4870.0,4725.0,-0.04404073726119029,-427427.549999999,0,SAT2_TRAIL,SAT2
417010,2024-08-13,2024-08-12,13700.0,13464.0,-0.031677396194806584,-304887.23759999865,-1,SAT2_TRAIL,SAT2
019170,2024-08-13,2024-08-12,17160.0,16110.0,-0.07499348639438064,-721455.9210000003,-1,SAT2_TRAIL,SAT2
452400,2024-08-13,2024-08-12,15910.0,14319.0,-0.11323397913561839,-1089770.8826999995,-1,SAT2_TRAIL,SAT2
053050,2024-08-14,2024-08-13,4760.0,4923.0,0.019035742463900718,183583.78830000147,-1,SAT1_TRAIL,SAT1
009450,2024-08-14,2024-08-16,66500.0,65700.0,-0.026557601156393162,-255968.63999999966,1,SAT1_TRAIL,SAT1
331920,2024-08-19,2024-08-16,8320.0,9360.0,0.10845752608047698,1054457.352,-1,SAT2_TRAIL,SAT2
229000,2024-08-19,2024-08-16,3810.0,3735.0,-0.034100003520424305,-331490.5424999999,-1,SAT2_TRAIL,SAT2
299660,2024-08-19,2024-08-16,13588.0,13836.6,0.003322108093096965,32258.296200000714,-1,SAT2_TRAIL,SAT2
001680,2024-08-13,2024-08-19,23150.0,21428.0,-0.08799509022884722,-1324511.5003999989,3,CORE_TRAIL,CORE
950200,2024-08-22,2024-08-21,5940.0,6030.0,0.00022429962817449578,2220.6960000005784,-1,SAT1_TRAIL,SAT1
215380,2024-08-22,2024-08-21,3225.0,3870.0,0.18235469448584207,1804753.4085000008,-1,SAT2_TRAIL,SAT2
009730,2024-08-22,2024-08-21,1985.0,2385.0,0.18384380619174379,1819246.8060000017,-1,SAT2_TRAIL,SAT2
389500,2024-08-22,2024-08-21,22600.0,24570.0,0.07118196325653181,704338.5150000007,-1,SAT2_TRAIL,SAT2
356680,2024-08-27,2024-08-26,4610.0,4554.0,-0.026673304647772178,-268813.6704000007,-1,SAT2_TRAIL,SAT2
199820,2024-08-27,2024-08-26,8360.0,8352.0,-0.015647287844322788,-157730.59679999936,-1,SAT2_TRAIL,SAT2
000660,2024-08-13,2024-08-27,179900.0,178200.0,-0.024015163250986293,-360918.0299999979,9,CORE_TRAIL,CORE
001750,2024-08-13,2024-08-27,14670.0,15972.0,0.07274308000044694,1095558.948,9,CORE_TRAIL,CORE
456010,2024-08-27,2024-08-27,8410.0,9306.0,0.0902688056763028,910037.3832000019,0,SAT2_TRAIL,SAT2
069080,2024-08-14,2024-08-28,19130.0,17739.0,-0.08634823464521901,-832951.9286999991,9,SAT1_TRAIL,SAT1
075130,2024-08-29,2024-08-28,3350.0,3015.0,-0.11323397913561839,-1129744.720499999,-1,SAT1_TRAIL,SAT1
047080,2024-08-29,2024-08-28,2580.0,2677.5,0.022530586074238412,224782.93350000004,-1,SAT1_TRAIL,SAT1
280360,2024-08-13,2024-08-29,157000.0,144936.0,-0.09041528662420384,-1357309.5360000003,11,CORE_TRAIL,CORE
075130,2024-08-30,2024-08-29,3300.0,3375.0,0.007688660073160936,76280.51250000109,-1,SAT2_TRAIL,SAT2
411080,2024-08-30,2024-08-29,10070.0,9144.0,-0.10530856286175594,-1044935.845799999,-1,SAT2_TRAIL,SAT2
456010,2024-08-30,2024-08-29,10020.0,10044.0,-0.012344431851646909,-122378.78159999939,-1,SAT2_TRAIL,SAT2
043090,2024-09-04,2024-09-03,3842.0,4365.0,0.11942092691104911,1185434.1825000015,-1,SAT2_TRAIL,SAT2
101730,2024-09-04,2024-09-03,10160.0,10152.0,-0.015480244552143252,-153552.55199999892,-1,SAT2_TRAIL,SAT2
011420,2024-09-04,2024-09-03,2835.0,2551.5,-0.1132339791356185,-1124082.1210499997,-1,SAT2_TRAIL,SAT2
005430,2024-08-13,2024-09-04,55500.0,50160.0,-0.10950583370255507,-1645493.9820000003,15,CORE_TRAIL,CORE
014830,2024-08-13,2024-09-04,82800.0,77264.0,-0.08058118845859386,-1208788.415999998,15,CORE_TRAIL,CORE
259960,2024-08-13,2024-09-04,317500.0,312400.0,-0.030531216384837134,-458563.48999999923,15,CORE_TRAIL,CORE
011420,2024-09-05,2024-09-04,2755.0,2835.0,0.01390670262170679,136200.98400000125,-1,SAT1_TRAIL,SAT1
069620,2024-08-22,2024-09-05,147700.0,136800.0,-0.08741750053225461,-857702.3399999994,10,SAT1_TRAIL,SAT1
294870,2024-08-13,2024-09-06,23100.0,24816.0,0.05848896458732544,879840.5484000017,17,CORE_TRAIL,CORE
049180,2024-09-09,2024-09-06,3520.0,3168.0,-0.11323397913561828,-1101223.7279999985,-1,SAT2_TRAIL,SAT2
062970,2024-09-09,2024-09-06,2415.0,2284.2000000000003,-0.06806949856985467,-661990.8963599969,-1,SAT2_TRAIL,SAT2
103140,2024-08-13,2024-09-09,54100.0,60192.0,0.09624605314990475,1446448.7664000015,18,CORE_TRAIL,CORE
086790,2024-08-13,2024-09-09,59700.0,60984.0,0.00648686053216907,97445.70000000203,18,CORE_TRAIL,CORE
175330,2024-08-13,2024-09-11,13960.0,14350.0,0.012821744619856412,193126.1600000007,20,CORE_REBAL,CORE
138040,2024-08-13,2024-09-11,82200.0,88200.0,0.057214964047559436,861522.4799999999,20,CORE_REBAL,CORE
000810,2024-08-13,2024-09-11,351500.0,343000.0,-0.03853091463100078,-572529.2999999985,20,CORE_REBAL,CORE
021240,2024-08-13,2024-09-11,59200.0,67000.0,0.115114928639519,1728493.2000000032,20,CORE_REBAL,CORE
105560,2024-08-13,2024-09-11,82500.0,79200.0,-0.05411624441132634,-813343.4100000001,20,CORE_TRAIL,CORE
123330,2024-09-12,2024-09-11,17500.0,15750.0,-0.1132339791356185,-1079010.975,-1,SAT2_TRAIL,SAT2
112290,2024-09-12,2024-09-11,17690.0,17136.0,-0.045561049335340664,-433999.38300000073,-1,SAT2_TRAIL,SAT2
294870,2024-09-12,2024-09-19,23900.0,24200.0,-0.002336694332030098,-34793.98999999946,2,CORE_TRAIL,CORE
234300,2024-09-20,2024-09-19,5800.0,5382.0,-0.08571365435017209,-826612.2311999989,-1,SAT2_TRAIL,SAT2
239610,2024-09-20,2024-09-19,17210.0,18450.0,0.05628724158743892,542100.000000002,-1,SAT2_TRAIL,SAT2
001750,2024-09-12,2024-09-20,16150.0,15620.0,-0.04703919876837692,-700392.8359999976,3,CORE_TRAIL,CORE
354200,2024-09-24,2024-09-23,4225.0,3802.5,-0.11323397913561839,-1087279.4984999993,-1,SAT1_TRAIL,SAT1
354200,2024-09-25,2024-09-24,3874.0,4518.0,0.1490876160916872,1431790.1748000018,-1,SAT2_TRAIL,SAT2
082270,2024-09-25,2024-09-24,18140.0,16632.0,-0.09661322681511741,-927840.6456000006,-1,SAT2_TRAIL,SAT2
